master_cpd_id	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	inclusion_rationale	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles
182395	NSC30930	BRD-K29711668	6.60E+01	probe	outreach	SRD5A2	inhibitor of steroid 5-alpha reductase	National Cancer Institute Chemotherapeutic Agents Repository		OC(=O)c1cc2cc(OCc3ccccc3)ccc2[nH]1
183526	CIL70	BRD-K20215950	4.00E+01	probe	pilot-set		screening hit	Columbia University		Clc1ccc(CC(=N)NOC(=O)c2cccc3ccccc23)cc1
185987	MI-1	BRD-K64497429	3.30E+01	probe	lit-search	MEN1	binder of menin; inhibitor of menin-MLL fusion protein	InterBioScreen Ltd.	STOCK3S-35137	CC1(C)CN=C(S1)N1CCN(CC1)c1ncnc2sc3CCCCc3c12
199337	DBeQ	BRD-K59204667	6.60E+01	probe	lit-search	VCP	inhibitor of p97 in cells	Tocris Bioscience	4417	C(Nc1nc(NCc2ccccc2)c2ccccc2n1)c1ccccc1
215497	Mdivi-1	BRD-K61128465	6.60E+01	probe	lit-search	DNM1	inhibitor of dynamin 1; inhibitor of mitrochondrial division inhibitor	Tocris Bioscience	3982	COc1cc(c(Cl)cc1Cl)-n1c(=S)[nH]c2ccccc2c1=O
255961	ML083	BRD-K44241590	3.70E+01	probe	pilot-set	PKM	activator of muscle pyruvate kinase	Enamine Ltd.	T6096896	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1
267119	CID-5951923	BRD-A86956638	6.60E+01	probe	chromatin;lit-search	KLF5	modulator of KLF5 expression	Tocris Bioscience	4446	CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)\C=C\c1cccc(c1)[N+]([O-])=O
272805	IU1	BRD-K45841694	6.60E+01	probe	lit-search	USP14	inhibitor of the deubiquitinase activity of USP14	Tocris Bioscience	4088	Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1
277354	dexamethasone	BRD-A35108200	3.30E+01	FDA	pilot-set	NR3C1	agonist of glucocorticoid receptor	ChemDiv Inc.	R092-0055	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
290356	ML311	BRD-A40802033	6.60E+01	probe	outreach	MCL1	inhibitor of MCL1	Eutropics Pharmaceuticals	EU-5346	CCN1CCN(CC1)C(c1ccc(cc1)C(F)(F)F)c1ccc2cccnc2c1O
340501	VX-680	BRD-K59369769	6.60E+01	clinical	pilot-set	AURKA;AURKB;AURKC	inhibitor of aurora kinases	Selleck	S1048	CN1CCN(CC1)c1cc(Nc2cc(C)[nH]n2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1
345041	imatinib	BRD-K92723993	6.60E+01	FDA	std-of-care	ABL1;BCR;KIT	inhibitor of BCR-ABL1 and c-KIT	Selleck	S2475	CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1
345712	O-6-benzylguanine	BRD-K92041145	6.60E+01	clinical	CTEP	MGMT	inhibitor of O(6)-alkylguanine DNA alkyltransferases	Sigma-Aldrich	B2292	Nc1nc(OCc2ccccc2)c2[nH]cnc2n1
347775	decitabine	BRD-K79254416	6.60E+01	FDA	chromatin;CTEP;std-of-care	DNMT1	inhibitor of DNA methyltransferase	Selleck	S1200	Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
347812	CHIR-99021	BRD-K16189898	8.00E+01	probe	kinome;pilot-set	GSK3B	inhibitor of GSK3 beta	Selleck	S1263	Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl
347813	BI-2536	BRD-K64890080	3.30E+01	clinical	kinome;pilot-set	PLK1	inhibitor of polo-like kinase 1 (PLK1)	Selleck	S1109	CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O
348633	BRD-K61166597	BRD-K61166597	6.60E+01	probe	chromatin;outreach		inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		Nc1ccc(cc1NC(=O)c1ccc(cc1)C(=O)NCCc1ccncc1)-c1cccs1
348990	axitinib	BRD-K29905972	6.60E+01	FDA	kinome	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta	Selleck	S1005	CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1
348991	selumetinib	BRD-K57080016	2.70E+02	clinical	CTEP;kinome;pilot-set	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	Selleck	S1008	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
348992	NVP-BEZ235	BRD-K12184916	1.70E+01	clinical	kinome;outreach;pilot-set	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K and mTOR kinase activity	Spanish National Cancer Research Centre		Cn1c2cnc3ccc(cc3c2n(-c2ccc(cc2)C(C)(C)C#N)c1=O)-c1cnc2ccccc2c1
348997	GW-843682X	BRD-K90382497	3.30E+01	probe	kinome;pilot-set	PLK1;PLK3	inhibitor of PLK1 and PLK3	Axon Medchem	1131	COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(N)=O)c2cc1OC
349002	vandetanib	BRD-K77625799	6.60E+01	FDA	kinome;std-of-care	EGFR;KDR	inhibitor of VEGFR2 and EGFR	Selleck	S1046	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
349006	sorafenib	BRD-K23984367	6.60E+01	FDA	CTEP;kinome;std-of-care	BRAF;FLT3;KDR;RAF1	inhibitor of BRAF, CRAF, and VEGFR2	Cayman	10009644	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1
350548	ML029	BRD-K59962020	3.30E+01	probe	chromatin;pilot-set		inhibitor of antigen receptor-mediated NFkappaB activity	WuXi AppTec	TH02453-034	Cc1cc2nc(NCCCO)n(CC(=O)c3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)c2cc1C
351043	temozolomide	BRD-A94153989	6.60E+01	FDA	std-of-care		DNA alkylator	Selleck	S1237	CN1N=Nc2c(ncn2C1=O)C(=O)N
362063	QW-BI-011	BRD-K72264770	3.30E+01	probe	chromatin;pilot-set	EHMT2	inhibitor of G9a histone methyltransferase	Broad Institute of MIT and Harvard		COC(=O)c1ccc2n(CCCc3ccccc3)c(NC(=O)c3ccccc3)nc2c1
362207	BRD-K90370028	BRD-K90370028	3.30E+01	probe	outreach		screening hit	Broad Institute of MIT and Harvard		CC(=O)N[C@@H]1C\C=C\CCC(=O)N[C@@H](COC1=O)c1ccccc1
362338	SNX-2112	BRD-K71281111	3.70E+01	probe	pilot-set	HSP90AA1;HSP90B1	inhibitor of HSP90alpha and HSP90beta	Broad Institute of MIT and Harvard		CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(F)(F)F)C(=O)C1
362342	navitoclax	BRD-K82746043	3.30E+01	clinical	CTEP;pilot-set	BCL2;BCL2L1;BCL2L2	inhibitor of BCL2, BCL-xL, and BCL-W	Selleck	S1001	CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
374747	bexarotene	BRD-K92441787	6.60E+01	FDA	chromatin;std-of-care	RXRA;RXRB;RXRG	inhibitor of retinoid X receptors	LC Laboratories	B-2422	Cc1cc2c(cc1C(=C)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C
374749	nilotinib	BRD-K81528515	6.60E+01	FDA	kinome;std-of-care	ABL1;BCR;KIT	inhibitor of ABL1, BCR, and c-KIT	Selleck	S1033	Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F
374750	sunitinib	BRD-K42828737	6.60E+01	FDA	CTEP;kinome	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta	Selleck	S1042	CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C
374755	bendamustine	BRD-K17068645	6.60E+01	FDA	std-of-care		DNA alkylator	Selleck	S1212	Cn1c(CCCC(O)=O)nc2cc(ccc12)N(CCCl)CCCl
375219	omacetaxine mepesuccinate	BRD-K76674262	6.60E+01	FDA	lit-search		inhibitor of protein translation by preventing protein elongation	Tocris Bioscience	1416	COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC
375256	CD-437	BRD-K28907958	3.70E+01	probe	chromatin;pilot-set	RARG	agonist of retinoic acid receptor gamma	Sigma-Aldrich	C5865	OC(=O)c1ccc2cc(ccc2c1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2
375264	SCH-79797	BRD-K17140735	3.70E+01	probe	pilot-set	F2R	antagonist of proteinase-activated receptor 1 (PAR1)	Tocris Bioscience	1592	CC(C)c1ccc(Cn2ccc3c2ccc2nc(NC4CC4)nc(N)c32)cc1
375354	LE-135	BRD-K06593056	6.60E+01	probe	pilot-set	RARB	antagonist of retinoic acid receptor beta	Tocris Bioscience	2021	CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C
375366	SKI-II	BRD-K20755323	1.30E+02	probe	kinome;pilot-set	SPHK1	inhibitor of sphingosine kinase 1	Cayman	10009222	Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1
375390	CI-976	BRD-K88544581	2.70E+02	probe	pilot-set	ACAT1	inhibitor of acetyl-CoA acetyltransferase I	Sigma-Aldrich	C3743	CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC
375395	Platin	BRD-K69172251	6.60E+01	FDA	std-of-care		DNA alkylator; organoplatinum reagent	Selleck	S1166	N[Pt](N)(Cl)Cl
375435	necrostatin-1	BRD-A36318220	5.30E+02	probe	pilot-set	RIPK1	inhibitor of receptor-interacting protein kinase 1; inhibitor of the necroptosis cell death pathway	Sigma-Aldrich	N9037	CN1C(=S)NC(Cc2c[nH]c3ccccc23)C1=O
375447	GW-405833	BRD-K10705233	1.30E+02	probe	pilot-set	CNR2	partial agonist of cannabinoid receptor 2	Sigma-Aldrich	G1421	COc1ccc2n(C(=O)c3cccc(Cl)c3Cl)c(C)c(CCN3CCOCC3)c2c1
375487	AC55649	BRD-K93176058	3.30E+01	probe	chromatin;pilot-set	RARB	agonist of retinoic acid receptor beta	ChemBridge Corporation	5308535	CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O
375492	RITA	BRD-K00317371	3.30E+01	probe	pilot-set	MDM2;TP53	inhibitor of p53-MDM2 interaction	Tocris Bioscience	2443	OCc1ccc(s1)-c1ccc(o1)-c1ccc(CO)s1
375496	LY-2183240	BRD-K37865504	3.30E+01	probe	pilot-set	FAAH	inhibitor of fatty acid amide hydrolase; inhibitor of anandamide uptake	Tocris Bioscience	2452	CN(C)C(=O)n1nnnc1Cc1ccc(cc1)-c1ccccc1
375560	Ki8751	BRD-K47150025	6.60E+01	probe	kinome	KDR;KIT;PDGFRA	inhibitor of VEGFR2, c-KIT, and PDGFRA	Selleck	S1363	COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC
375562	CD-1530	BRD-K25737009	1.30E+02	probe	chromatin;pilot-set	RARG	agonist of retinoic acid receptor gamma	Tocris Bioscience	2554	OC(=O)c1ccc(cc1)-c1ccc2cc(c(O)cc2c1)C12CC3CC(CC(C3)C1)C2
375564	TPCA-1	BRD-K51575138	6.60E+01	probe	chromatin;outreach	IKBKB	inhibitor of IKK-2	Tocris Bioscience	2559	NC(=O)Nc1sc(cc1C(N)=O)-c1ccc(F)cc1
375582	oxaliplatin	BRD-M14820059	6.60E+01	FDA	std-of-care		DNA alkylator; organoplatinum reagent	Selleck	S1224	O=C1O[Pt]2(NC3CCCCC3N2)OC1=O
375594	NSC632839	BRD-K37392901	3.30E+01	probe	pilot-set	USP13;USP5	inhibitor of ubiquitin isopeptidase			Cc1ccc(C=C2CNCC(=Cc3ccc(C)cc3)C2=O)cc1
375596	pifithrin-mu	BRD-K96799727	3.30E+01	probe	pilot-set	HSPA1A;HSPA1B;HSPA1L;TP53	inhibitor of p53 binding to mitochondria; inhibitor of HSP70	Sigma-Aldrich	P0122	NS(=O)(=O)C#Cc1ccccc1
375637	SN-38	BRD-A36630025	1.30E+00	probe	pilot-set	TOP1	metabolite of irinotecan; inhibitor of topoisomerase I	Tocris Bioscience	2684	CCc1c2Cn3c(cc4c(COC(=O)C4(O)CC)c3=O)-c2nc2ccc(O)cc12
376307	BRD-K80183349	BRD-K80183349	6.60E+01	probe	chromatin;outreach	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)N1CCC(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1
376693	BRD-K66532283	BRD-K66532283	6.60E+01	probe	chromatin;outreach	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		Nc1ccc(cc1NC(=O)C1=CCCC1)-c1cccs1
377381	MK-2206	BRD-K68065987	3.30E+01	clinical	chromatin;CTEP;kinome;pilot-set	AKT1	inhibitor of AKT1	Selleck	S1078	NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1
385240	triazolothiadiazine	BRD-K05402890	6.60E+01	probe	pilot-set	PDE4A;PDE4B;PDE4D	inhibitor of phosphdiesterase 4A/B/D	WuXi AppTec	TH02420-017	COc1ccc(OC)c(c1)-c1nnc2SCC(=Nn12)c1ccc(OC)c(OC)c1
387472	BRD-K66453893	BRD-K66453893	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc2ccc(NC(=O)CCC(F)(F)F)cc2CC1=O
389297	BRD-K11533227	BRD-K11533227	6.60E+01	probe	chromatin;outreach	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)NC1CCN(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1
397964	BRD-K27224038	BRD-K27224038	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)C2CCOCC2)Oc2ncc(cc2C1=O)C#CC1(O)CCCC1
401251	BRD-K33514849	BRD-K33514849	3.40E+01	probe	outreach		screening hit	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1
402775	BRD-K14844214	BRD-K14844214	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CC(C)CC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3cnccn3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1
404070	BRD1835	BRD-K62801835	1.30E+02	probe	chromatin;DOS;outreach	EZH2	product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(O)=O)Oc2cc(ccc2S1(=O)=O)C#CCC1CCCC1
404452	BRD-K41597374	BRD-K41597374	6.70E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cc(F)ccc2F)Oc2cc(ccc2S1(=O)=O)C#CC1CCCC1
404566	BRD-K63431240	BRD-K63431240	6.60E+01	probe	DOS;outreach		product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1
410270	BRD-K13999467	BRD-K13999467	6.70E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Cc2ccncc2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccccc1F
410703	BRD-K96970199	BRD-K96970199	6.60E+01	GE-active	DOS;profiling		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C\C=C\c1ccc2c(O[C@@H](CN(C)C(=O)c3ccccc3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1
411714	brefeldin A	BRD-A31107743	3.70E+01	probe	pilot-set	ARF1	modulator of ADP-ribosylation factor 1; inhibitor of protein translocation from ER to Golgi	ChemBridge Corporation	6908419	CC1CCC\C=C/C2CC(O)CC2C(O)\C=C/C(=O)O1
411716	AGK-2	BRD-K32536677	3.30E+01	probe	chromatin;pilot-set	SIRT2	inhibitor of sirtuin 2	ChemBridge Corporation;Tocris Bioscience	5857140;3233	Clc1ccc(Cl)c(c1)-c1ccc(\C=C(/C#N)C(=O)Nc2cccc3ncccc23)o1
411717	L-685458	BRD-K87317732	3.70E+01	probe	pilot-set	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	Sigma-Aldrich	L1790	CC(C)C[C@H](NC(=O)[C@@H](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
411719	PF-750	BRD-K83213911	2.70E+02	probe	pilot-set	FAAH	inhibitor of fatty acid amide hydrolase	Cayman	10010908	O=C(Nc1ccccc1)N1CCC(Cc2cnc3ccccc3c2)CC1
411720	triptolide	BRD-A13122391	3.00E-01	clinical	pilot-set		natural product; inhibitor of RNA polymerase II	Sigma-Aldrich	T3652	CC(C)[C@]12O[C@H]1[C@@H]1O[C@]11[C@]3(O[C@H]3CC3C4=C(CC[C@]13C)C(=O)OC4)[C@@H]2O
411722	nutlin-3	BRD-A12230535	1.50E+02	clinical	pilot-set	MDM2	inhibitor of p53-MDM2 interaction	Selleck	S1061	COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1
411724	AA-COCF3	BRD-K07303502	2.70E+02	probe	pilot-set	FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D	inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase	Cayman	62120	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)C(F)(F)F
411726	16-beta-bromoandrosterone	BRD-K98404142	3.70E+01	probe	pilot-set		dehydroepiandrosterone (DHEA) analog	Sigma-Aldrich	B9392	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1C[C@H](Br)C2=O
411727	PRL-3 inhibitor I	BRD-K09907482	1.30E+02	probe	pilot-set	PTP4A3	inhibitor of phosphatase of regenerating liver-3 (PRL3)	Sigma-Aldrich;EMD Biosciences	P0108;539808	Brc1ccc(OCc2ccccc2Br)c(\C=C2\SC(=S)NC2=O)c1
411731	SID 26681509	BRD-K08417745	3.00E+02	probe	pilot-set	CTSL1	inhibitor of cathepsin L	Tocris Bioscience	3625	CCc1ccccc1NC(=O)CSC(=O)NNC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C
411733	neuronal differentiation inducer III	BRD-K53903639	2.70E+02	probe	chromatin;pilot-set		induction of rat HCN cell differentiation as judged by induction of neuronal reporter neuroD activity	EMD Biosciences	BRD3639	O=C(NC1CC1)c1cc(on1)-c1cccs1
411734	NSC 74859	BRD-K40853697	5.30E+02	probe	chromatin;pilot-set	STAT3	inhibitor of STAT3	Selleck	S1155	Cc1ccc(cc1)S(=O)(=O)OCC(=O)Nc1ccc(C(O)=O)c(O)c1
411737	bortezomib	BRD-K88510285	1.30E-01	FDA	CTEP;pilot-set;std-of-care	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of 26S proteasome	Toronto Research Chemicals;Selleck	B675700;S1013	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
411738	ABT-737	BRD-K56301217	3.70E+01	clinical	pilot-set	BCL2;BCL2L1;BCL2L2	inhibitor of BCL2, BCL-xL, and BCL-W	Toronto Research Chemicals	A112550	CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1
411739	zebularine	BRD-A01145011	5.90E+02	probe	chromatin;pilot-set	DNMT1	inhibitor of DNA methyltransferases	Tocris Bioscience	2293	OC[C@H]1O[C@H](C(O)[C@H]1O)n1cccnc1=O
411742	PI-103	BRD-K67868012	3.70E+01	probe	kinome;pilot-set	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC	inhibitor of DNA-PK, PI3K p110 delta, mTORC1, and catalytic subunits of PI3K	Tocris Bioscience	2930	Oc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1
411749	tubastatin A	BRD-K00627859	3.30E+01	probe	chromatin;pilot-set	HDAC6	inhibitor of tubulin deacetylase activity of HDAC6	Stanley Center for Psychiatric Research at the Broad Institute		CN1CCc2c(C1)c1ccccc1n2Cc1ccc(cc1)C(=O)NO
411770	SR-II-138A	BRD-K11172604	3.30E+01	probe	pilot-set	EIF4A2;EIF4E;EIF4G1	silvestrol analog; inhibits translation by modulating the eIF4F complex	Boston University		CON(C)C(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC
411774	neopeltolide	BRD-K62479592	3.30E+01	probe	pilot-set		inhibitor of cellular respiration	Boston University		CCC[C@H]1C[C@H](C[C@H](C)C[C@@H]2C[C@H](C[C@H](CC(=O)O1)O2)OC(=O)\C=C/CCc1coc(\C=C/CNC(=O)OC)n1)OC
411792	parthenolide	BRD-K81651477	6.60E+01	probe	pilot-set		natural product; modulator of ROS; modulator of NF-kappa-B signaling	Tocris Bioscience;Tocris Bioscience	607;0610	C\C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1
411805	Compound 7d-cis	BRD-K61829047	3.30E+01	probe	pilot-set	XPO1	inhibitor of CRM1-mediated nucleocytoplasmic transport	WuXi AppTec	TH02330-015-1	CCOC(=O)\C=C/n1nnc(n1)-c1cccc(Cl)c1
411808	TG-101348	BRD-K12502280	3.70E+01	clinical	kinome;pilot-set	JAK2	inhibitor of Janus kinase 2	Selleck	S2736	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C
411809	pevonedistat	BRD-K67844266	3.70E+01	clinical	pilot-set	NAE1	inhibitor of Nedd-8 activating enzyme	WuXi AppTec	TH02333-012	NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12
411814	AZD7545	BRD-K52836380	7.40E+01	probe	kinome;pilot-set	PDK2	inhibitor of pyruvate dehydrogenase kinase 2	WuXi AppTec;WuXi AppTec	TH02357-029-A;TH02357-029-B	CN(C)C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1
411815	VER-155008	BRD-K32330832	3.70E+01	probe	pilot-set	HSPA1A;HSPA1B;HSPA1L	inhibitor of HSP70	WuXi AppTec	TH02357-035	Nc1ncnc2n([C@@H]3O[C@H](COCc4ccc(cc4)C#N)[C@@H](O)[C@H]3O)c(NCc3ccc(Cl)c(Cl)c3)nc12
411816	ML203	BRD-K80672993	3.70E+01	probe	pilot-set	PKM	activator of muscle pyruvate kinase (PKM2)	WuXi AppTec	TH02357-061	Nc1cccc(c1)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1
411820	SRT-1720	BRD-K53855319	3.70E+01	probe	chromatin;pilot-set	SIRT1	activator of sirtuin-1	WuXi AppTec	TH02370-053	O=C(Nc1cc(CN2CCNCC2)cc(c1)-c1nc2ccccc2[nH]1)c1cnc2ccccc2n1
411824	CAY10594	BRD-K61662457	6.60E+01	probe	pilot-set	PLD2	inhibitor of phospholipase D2	Cayman	13207	O=C(NCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc2ccccc2c1
411827	Compound 1541A	BRD-K30064966	3.70E+01	probe	pilot-set	CASP3;CASP6;CASP7	activators of executioner procaspases 3, 6, and 7	WuXi AppTec	TH02435-020-1	Oc1cccc2cc(C(=O)Nc3cccc(c3)-c3cn4ccccc4n3)c(=O)oc12
411831	RG-108	BRD-K89391146	2.70E+02	probe	pilot-set	DNMT1	inhibitor of DNA methyltransferase	Cayman	13302	OC(=O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O
411832	PAC-1	BRD-K92991072	3.30E+01	probe	pilot-set	CASP3	activator of procaspase-3	Tocris Bioscience	2581	Oc1c(CC=C)cccc1\C=N\NC(=O)CN1CCN(Cc2ccccc2)CC1
411833	pluripotin	BRD-K98538768	3.30E+01	probe	pilot-set	MAPK1;RASAL1	promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK	Cayman	10009557	CN1C(=O)N(Cc2cnc(Nc3cc(C)nn3C)nc12)c1cc(NC(=O)c2cccc(c2)C(F)(F)F)ccc1C
411843	GMX-1778	BRD-K47335880	3.00E-01	clinical	pilot-set	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	WuXi AppTec;Cayman	TH-2360-010-1;11021	Clc1ccc(OCCCCCC\N=C(\NC#N)Nc2ccncc2)cc1
411856	avrainvillamide	BRD-K10466330	3.30E+01	probe	pilot-set	NPM1	natural product; inhibitor of nucleophosmin	Harvard University		CC1(C)Oc2ccc3C4=C[C@@]56NC(=O)[C@]7(CCCN7C5=O)C[C@H]6C(C)(C)C4=[N+]([O-])c3c2C=C1
411859	BMS-536924	BRD-K34581968	3.70E+01	probe	pilot-set	IGF1R;INSR	inhibitor of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR)	Selleck	S1012	Cc1cc(cc2[nH]c(nc12)-c1c(NC[C@@H](O)c2cccc(Cl)c2)cc[nH]c1=O)N1CCOCC1
411863	gemcitabine	BRD-K15108141	3.30E+01	FDA	pilot-set;std-of-care	CMPK1;RRM1;TYMS	inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase 	Selleck	S1714	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
411865	MST-312	BRD-K19894101	3.30E+01	probe	chromatin;pilot-set	TERT	inhibitor of telomerase reverse transcriptase	Sigma-Aldrich	M3949	Oc1cccc(C(=O)Nc2cccc(NC(=O)c3cccc(O)c3O)c2)c1O
