"unique.cellid","unique.tissueid","CGP.cellid","CCLE.cellid","GSK.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","GDSC_rnaseq.cellid","CCLE_exome.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","GDSC1000.cellid","NCI60.cellid","PRISM.cellid","MCLP.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Cescon.cellid","Ben_Neel.tissueid","COSMIC.tissueid","CTRPv2.tissueid","gCSI.tissueid","GDSC1000.tissueid","Cleveland.cellid","Cleveland.tissueid","FIMM.cellid","FIMM.tissueid","NCI60.tissueid","PRISM.tissueid","MCLP.tissueid","Cellosaurus.Accession.id","PharmacoDB.id","GDSC_Exome.cellid","unique.tissueid.fromstudies","Cellosaurus.Disease.Type","CellLine.Type","Metastatic","DepMap.cellid","NCI.Sarcoma.cellid"
"D-247MG","CNS/Brain","D-247MG","","","","","","D-247MG","D-247MG","","","D-247MG","","","","D-247MG","","","","central_nervous_system","","","","","","CNS","","nervous_system","","","central_nervous_system","","","central_nervous_system","","","","","","","","CVCL_1153","D247MG_271_2019","D-247MG","central_nervous_system","Gliosarcoma","Cancer cell line",NA,"ACH-002224",""
"D-263MG","CNS/Brain","D-263MG","","","","","","D-263MG","D-263MG","","","D-263MG","","","","D-263MG","","","","central_nervous_system","","","","","","CNS","","nervous_system","","","central_nervous_system","","","central_nervous_system","","","","","","","","CVCL_1154","D263MG_272_2019","D-263MG","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-002225",""
"D-336MG","CNS/Brain","D-336MG","","","","","","D-336MG","D-336MG","","","D-336MG","","","","D-336MG","","","","central_nervous_system","","","","","","CNS","","nervous_system","","","central_nervous_system","","","central_nervous_system","","","","","","","","CVCL_1156","D336MG_274_2019","D-336MG","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-002226",""
"D-392MG","CNS/Brain","D-392MG","","","","","","D-392MG","D-392MG","","","D-392MG","","","","D-392MG","","","","central_nervous_system","","","","","","CNS","","nervous_system","","","central_nervous_system","","","central_nervous_system","","","","","","","","CVCL_1158","D392MG_275_2019","D-392MG","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-002227",""
"D-397MG","CNS/Brain","D-397MG","","","","","","","","","","","","","","","","","","central_nervous_system","","","","","","","","","","","central_nervous_system","","","","","","","","","","","","D-397MG3582021_","","central_nervous_system","Glioblastoma","",NA,"",""
"D-423MG","CNS/Brain","D-423MG","","","","","","D-423MG","D-423MG","","","D-423MG","","","","D-423MG","","","","central_nervous_system","","","","","","central_nervous_system","","nervous_system","","","central_nervous_system","","","central_nervous_system","","","","","","","","CVCL_1160","D423MG_276_2019","D-423MG","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-002228",""
"D-502MG","CNS/Brain","D-502MG","","","","","","D-502MG","D-502MG","","","D-502MG","","","","D-502MG","","","","central_nervous_system","","","","","","CNS","","nervous_system","","","central_nervous_system","","","central_nervous_system","","","","","","","","CVCL_1162","D502MG_277_2019","D-502MG","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-002229",""
"D-538MG","CNS/Brain","D-538MG","","","","","","","","","","","","","","","","","","central_nervous_system","","","","","","","","","","","central_nervous_system","","","","","","","","","","","","D-538MG3612021_","","central_nervous_system","Glioblastoma","",NA,"",""
"D-542MG","CNS/Brain","D-542MG","","","","","","D-542MG","D-542MG","","","D-542MG","","","","D-542MG","","","","central_nervous_system","","","","","","CNS","","nervous_system","","","central_nervous_system","","","central_nervous_system","","","","","","","","CVCL_1164","D542MG_278_2019","D-542MG","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-002230",""
"D-566MG","CNS/Brain","D-566MG","","","","","","D-566MG","D-566MG","","","D-566MG","","","","D-566MG","","","","central_nervous_system","","","","","","central_nervous_system","","nervous_system","","","central_nervous_system","","","central_nervous_system","","","","","","","","CVCL_1166","D566MG_279_2019","D-566MG","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-002231",""
"D283 Med","CNS/Brain","D-283MED","D283 Med","D283MED","","","","D-283MED","","D283_Med","D283_Med","D-283MED","","D283MED","","D-283MED","","","","central_nervous_system","central_nervous_system","central_nervous_system","","","","CNS","central_nervous_system","nervous_system","","","central_nervous_system","central_nervous_system","","central_nervous_system","D283MED","central_nervous_system","","","","","","CVCL_1155","D283MED_273_2019","D-283MED","central_nervous_system","Medulloblastoma","Cancer cell line",NA,"ACH-000055",""
"D341 Med","CNS/Brain","","D341 Med","D341MED","","","","","","D341_Med","D341_Med","","","","","","","","","","central_nervous_system","brain","","","","","central_nervous_system","","","","","","","","","","","","","","","CVCL_0018","D341Med_280_2019","","central_nervous_system","Medulloblastoma","Cancer cell line",NA,"ACH-000095",""
"D384 Med","CNS/Brain","D-384MED","","","","","","","","","","","","","","","","","","central_nervous_system","","","","","","","","","","","central_nervous_system","","","","","","","","","","","CVCL_1157","D384 Med3662021_","","central_nervous_system","Medulloblastoma","",NA,"ACH-001052",""
"D425 Med","CNS/Brain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_1275","D425 Med3672021_","","","","",NA,"ACH-001053",""
"D458 Med","CNS/Brain","D-458MED","","","","","","","","","","","","","","","","","","central_nervous_system","","","","","","","","","","","central_nervous_system","","","","","","","","","","","CVCL_1161","D458 Med3682021_","","central_nervous_system","Medulloblastoma","",NA,"ACH-001054",""
"D556 Med","CNS/Brain","D-556MED","","","","","","","","","","","","","","","","","","central_nervous_system","","","","","","","","","","","central_nervous_system","","","","","","","","","","","CVCL_1165","D556 Med3692021_","","central_nervous_system","Medulloblastoma","",NA,"ACH-001055",""
"DAN-G","Pancreas","","DAN-G","","","DAN-G","","DAN-G","","DAN-G","DAN-G","DAN-G","","DANG","DAN-G","DAN-G","","DANG_PANCREAS","DANG","","pancreas","","","Pancreas","","Pancreas","pancreas","","","","pancreas","pancreas","","pancreas","DANG","pancreas","","","","pancreas","pancreas","CVCL_0243","DANG_281_2019","DAN-G","pancreas","Pancreatic adenocarcinoma","Cancer cell line",NA,"ACH-000243",""
"DB","Lymphoid","DB","DB","DB","","DB","","DB","","DB","DB","DB","","DB","DB","DB","DB","","DB","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","Lymph Node","","Blood","haematopoietic_and_lymphoid_tissue","blood","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Lymphoid","haematopoietic_and_lymphoid_tissue","","","","","Lymphoma","","blood","CVCL_1168","DB_284_2019","DB","haematopoietic_and_lymphoid_tissue","Diffuse large B-cell lymphoma","Cancer cell line",NA,"ACH-000334",""
"DBTRG-05MG","CNS/Brain","DBTRG-05MG","DBTRG-05MG","DBTRG05MG","","","","DBTRG-05MG","","DBTRG-05MG","DBTRG-05MG","DBTRG-05MG","","DBTRG05MG","","DBTRG-05MG","","DBTRG05MG_CENTRAL_NERVOUS_SYSTEM","","central_nervous_system","central_nervous_system","central_nervous_system","","","","central_nervous_system","central_nervous_system","nervous_system","","","central_nervous_system","central_nervous_system","","central_nervous_system","DBTRG05MG","central_nervous_system","","","","central_nervous_system","","CVCL_1169","DBTRG05MG_285_2019","DBTRG-05MG","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-000863",""
"DEL","Lymphoid","DEL","DEL","","","","","DEL","","DEL","DEL","DEL","","DEL","DEL","DEL","","","DEL","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","haematopoietic_and_lymphoid_tissue","","","","","","","blood","CVCL_1170","DEL_286_2019","DEL","haematopoietic_and_lymphoid_tissue","Anaplastic large cell lymphoma","Cancer cell line",NA,"ACH-000233",""
"DEOC-1","Skin","","","","","DEOC-1","","","","","","","","","DEOC-1","","","","","","","","","Skin","","","","","","","skin","","","","","","","","","","","CVCL_4161","DEOC1_287_2019","","skin","Melanoma","Cancer cell line",NA,"",""
"DERL-2","Lymphoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_2016","DERL-23752021_","","","","",NA,"ACH-001057",""
"DFCI024","Lung","","DFCI024","","","","","","","","","","","","","","","","DFCI024","","lung","","","","","","","","","","lung","","","","","","","","","","lung","CVCL_A762","DFCI024_289_2019","","lung","Lung adenocarcinoma","Cancer cell line","TRUE","",""
"DG-75","Lymphoid","DG-75","","DG75","","","","DG-75","DG-75","","","DG-75","","","","DG-75","","","DG75","haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","Blood","","blood","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","","","","","","","blood","CVCL_0244","DG75_290_2019","DG-75","haematopoietic_and_lymphoid_tissue","Burkitt lymphoma","Cancer cell line",NA,"ACH-002232",""
"DJM-1","Skin","DJM-1","","","","","","DJM-1","DJM-1","","","DJM-1","","","","DJM-1","","","","skin","","","","","","Skin","","skin","","","skin","","","skin","","","","","","","","CVCL_1172","DJM1_292_2019","DJM-1","skin","Skin squamous cell carcinoma","Cancer cell line",NA,"ACH-002100",""
"DK-MG","CNS/Brain","DK-MG","DK-MG","DKMG","","","","DK-MG","","DK-MG","DK-MG","DK-MG","","DKMG","","DK-MG","","DKMG_CENTRAL_NERVOUS_SYSTEM","","central_nervous_system","central_nervous_system","central_nervous_system","","","","Brain","central_nervous_system","nervous_system","","","central_nervous_system","central_nervous_system","","central_nervous_system","DKMG","central_nervous_system","","","","central_nervous_system","","CVCL_1173","DKMG_293_2019","DK-MG","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-000244",""
"DL [Human lung rhabdoid tumor]","Other","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_U760","DL [Human lung rhabdoid tumor]3802021_","","","","",NA,"ACH-001059",""
"DL-40","Lymphoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_2889","DL-403812021_","","","","",NA,"ACH-001060",""
"DLD-1","Bowel","","DLD-1","DLD1","","DLD-1","DLD1","","","","","","","DLD1","DLD-1","","DLD-1","","DLD1","","large_intestine","colon","","Colon","LARGE_INTESTINE","","","","","","large_intestine","large_intestine","","","DLD1","large_intestine","","","Colon Cancer","","colon","CVCL_0248","DLD1_294_2019","","large_intestine","Colon adenocarcinoma","Cancer cell line",NA,"ACH-001061",""
"DM-3","Pleura","","DM-3","","","","","","","DM-3","DM-3","","","","","","","","","","pleura","","","","","","pleura","","","","","","","","DM3","pleura","","","","","","CVCL_2019","DM3_295_2019","","pleura","Pleural sarcomatoid mesothelioma","Cancer cell line",NA,"ACH-000742",""
"DMS 114","Lung","DMS-114","DMS 114","DMS114","","","","DMS-114","","DMS_114","DMS_114","DMS-114","","DMS114","DMS 114","DMS-114","DMS 114","","","lung","lung","lung","","","","Lung","lung","lung","","","lung","lung","","lung","DMS114","lung","","","Small Cell Lung Cancer","","","CVCL_1174","DMS114_297_2019","DMS-114","lung","Small cell lung carcinoma","Cancer cell line",NA,"ACH-000530",""
"DMS 153","Lung","DMS-153","DMS 153","DMS153","","","","","","DMS_153","DMS_153","","","","","","","","","lung","lung","lung","","","","","lung","","","","lung","","","lung","","","","","","","","CVCL_1175","DMS153_298_2019","","lung","Small cell lung carcinoma","Cancer cell line","TRUE","ACH-000594",""
"DMS 273","Lung","DMS-273","DMS 273","DMS273","","DMS 273","DMS273","DMS-273","","DMS_273","DMS_273","DMS-273","","DMS273","DMS 273","DMS-273","DMS 273","DMS273_LUNG","","lung","lung","lung","","Lung","LUNG","lung","lung","lung","","","lung","lung","Lung","lung","","","","","Small Cell Lung Cancer","lung","","CVCL_1176","DMS273_299_2019","DMS-273","lung","Small cell lung carcinoma","Cancer cell line","TRUE","ACH-000749",""
"DMS 454","Lung","","DMS 454","","","DMS 454","","","","DMS_454","DMS_454","","","DMS454","DMS 454","","","","","","lung","","","Lung","","","lung","","","","","lung","","","","","","","","","","CVCL_2438","DMS454_296_2019","","lung","Small cell lung carcinoma","Cancer cell line",NA,"ACH-000844",""
"DMS 53","Lung","DMS-53","DMS 53","DMS53","","DMS 53","","DMS-53","","DMS_53","DMS_53","DMS-53","","DMS53","DMS-53","DMS-53","","","","lung","lung","lung","","Lung","","Lung","lung","lung","","","lung","lung","","lung","DMS53","lung","","","","","","CVCL_1177","DMS53_300_2019","DMS-53","lung","Small cell lung carcinoma","Cancer cell line",NA,"ACH-000698",""
"DMS 79","Lung","DMS-79","DMS 79","DMS79","","DMS 79","","DMS-79","","DMS_79","DMS_79","DMS-79","","DMS79","DMS-79","DMS-79","","","DMS79","lung","lung","lung","","Lung","","Lung","lung","lung","","","lung","lung","","lung","","","","","","","lung","CVCL_1178","DMS79_301_2019","DMS-79","lung","Small cell lung carcinoma","Cancer cell line","TRUE","ACH-000703",""
"DND-41","Lymphoid","","DND-41","","","","","DND-41","DND-41","DND-41","DND-41","DND-41","","DND41","","DND-41","","","","","haematopoietic_and_lymphoid_tissue","","","","","Blood","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_2022","DND41_302_2019","DND-41","haematopoietic_and_lymphoid_tissue","Childhood T acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-000981",""
"DOK","Head and Neck","DOK","","","","DOK","","DOK","DOK","","","DOK","","","DOK","DOK","","","","upper_aerodigestive_tract","","","","Tongue","","Head & Neck","","aero_digestive_tract","","","upper_aerodigestive_tract","","","upper_aerodigestive_tract","","","","","","","","CVCL_1180","DOK_304_2019","DOK","upper_aerodigestive_tract","Oral dysplasia","Cancer cell line",NA,"ACH-002234",""
"DOV13","Ovary/Fallopian Tube","","DOV13","","","DOR 13","","DOV13","DOV13","","","DOV13","","DOV13","DOR 13","DOV13","","","","","","","","Ovary","","ovary","","","","","","","","ovary","","","","","","","","CVCL_6774","DOR13_305_2019","DOV13","ovary","Ovarian adenocarcinoma","Cancer cell line",NA,"ACH-001063",""
"DSH1","Bladder/Urinary Tract","DSH1","","","","","","DSH1","DSH1","","","DSH1","","","","DSH1","","","","urinary_tract","","","","","","Bladder","","urogenital_system","","","urinary_tract","","","urinary_tract","","","","","","","","CVCL_1182","DSH1_308_2019","DSH1","urinary_tract","Bladder carcinoma","Cancer cell line",NA,"ACH-002235",""
"DU145","Prostate","DU-145","DU 145","DU145","","DU 145","","DU-145","DU-145","DU_145","DU_145","DU-145","du145","DU145","DU 145","DU-145","DU-145///PR.DU.145","DU145_PROSTATE","DU145","prostate","prostate","prostate","","Prostate","","Prostate","prostate","urogenital_system","","prostate","prostate","prostate","Prostate","prostate","DU145","prostate","","","Prostate Cancer///Prostate","prostate","prostate","CVCL_0105","DU145_309_2019","DU-145","prostate","Prostate carcinoma","Cancer cell line","TRUE","ACH-000979",""
"DU4475","Breast","DU-4475","DU4475","DU4475","DU-4475///DU4475","DU4475","","DU-4475","","DU4475","DU4475","DU-4475","du4475","DU4475","DU4475","DU-4475","","","DU4475","breast","breast","breast","breast","Breast","","Breast","breast","","","breast","breast","breast","","breast","","","DU4475","breast","","","breast","CVCL_1183","DU4475_310_2019","DU-4475","breast","Breast carcinoma","Cancer cell line","TRUE","ACH-000258",""
"DV-90","Lung","DV-90","DV-90","","","DV-90","DV90","","","DV-90","DV-90","","","DV90","DV-90","","","","","lung","lung","","","Lung","LUNG","","lung","","","","lung","lung","Lung","lung","","","","","","","","CVCL_1184","DV90_311_2019","","lung","Lung adenocarcinoma","Cancer cell line","TRUE","ACH-000925",""
"Daoy","CNS/Brain","Daoy","Daoy","","","","","Daoy","","Daoy","Daoy","Daoy","","DAOY","","Daoy","","DAOY_CENTRAL_NERVOUS_SYSTEM","","central_nervous_system","central_nervous_system","","","","","Brain","central_nervous_system","nervous_system","","","central_nervous_system","central_nervous_system","","central_nervous_system","DAOY","central_nervous_system","","","","central_nervous_system","","CVCL_1167","Daoy_282_2019","Daoy","central_nervous_system","Medulloblastoma","Cancer cell line",NA,"ACH-000211",""
"Daudi","Lymphoid","Daudi","Daudi","DAUDI","","Daudi","","Daudi","","Daudi","Daudi","Daudi","","DAUDI","Daudi","Daudi","","","DAUDI","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","Blood","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Blood","haematopoietic_and_lymphoid_tissue","","","","","","","blood","CVCL_0008","Daudi_283_2019","Daudi","haematopoietic_and_lymphoid_tissue","Epstein-Barr virus-related Burkitt lymphoma","Cancer cell line",NA,"ACH-000786",""
"Detroit 562","Head and Neck","Detroit562","Detroit 562","DETROIT562","","Detroit 562","","Detroit562","","Detroit_562","Detroit_562","Detroit562","","DETROIT562","Detroit 562","Detroit562","","DETROIT562_UPPER_AERODIGESTIVE_TRACT","","upper_aerodigestive_tract","upper_aerodigestive_tract","pharynx","","Nasal Pharynx","","Head & Neck","upper_aerodigestive_tract","aero_digestive_tract","","","upper_aerodigestive_tract","upper_aerodigestive_tract","Head and Neck","upper_aerodigestive_tract","DETROIT562","upper_aerodigestive_tract","","","","upper_aerodigestive","","CVCL_1171","Detroit562_288_2019","Detroit562","upper_aerodigestive_tract","Pharyngeal squamous cell carcinoma","Cancer cell line","TRUE","ACH-000207",""
"DiFi","Bowel","","","","","","","DIFI","DIFI","","","DIFI///DiFi","","","","DIFI","","","","","","","","","","Intestine","","","","","large_intestine","","","large_intestine","","","","","","","","CVCL_6895","DIFI_291_2019","DIFI","large_intestine","Colorectal carcinoma","Cancer cell line","TRUE","ACH-002233",""
"DoHH2","Lymphoid","DOHH-2","DOHH-2","DOHH2","","DOHH-2","","DOHH-2","","DOHH-2","DOHH-2","DOHH-2","","DOHH2","DOHH-2","DOHH-2","","","DOHH2","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","Lymph Node","","Blood","haematopoietic_and_lymphoid_tissue","blood","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Lymphoid","haematopoietic_and_lymphoid_tissue","","","","","","","blood","CVCL_1179","DOHH2_303_2019","DOHH-2","haematopoietic_and_lymphoid_tissue","Diffuse large B-cell lymphoma germinal center B-cell type","Cancer cell line",NA,"ACH-000056",""
"DoTc2 4510","Cervix","DoTc2-4510","","DOTC24510","","","","DoTc2-4510","DoTc2-4510","","","DoTc2-4510","","","","DoTc2-4510","","","","cervix","","cervix_uteri","","","","Cervix","","urogenital_system","","","cervix","","","cervix","","","","","","","","CVCL_1181","DoTc24510_306_2019","DoTc2-4510","cervix","Cervical carcinoma","Cancer cell line",NA,"ACH-001341",""
"EB1","Lymphoid","","EB1","EB1","","EB1","","","","EB1","EB1","","","EB1","EB1","","","","EB1","","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","Lymph Node","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Lymphoid","","","","","","","","blood","CVCL_2027","EB1_313_2019","","haematopoietic_and_lymphoid_tissue","Epstein-Barr virus-related Burkitt lymphoma","Cancer cell line",NA,"ACH-000877",""
"EB2","Lymphoid","EB2","EB2","EB2","","EB2","","EB2","EB2","","","EB2","","","EB2","EB2","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","Blood","","Blood","","blood","","","haematopoietic_and_lymphoid_tissue","","Lymphoid","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_1186","EB2_314_2019","EB2","haematopoietic_and_lymphoid_tissue","Epstein-Barr virus-related Burkitt lymphoma","Cancer cell line",NA,"ACH-001064",""
"EB3 [Human Burkitt lymphoma]","Lymphoid","EB-3","","EB3","","EB-3","","EB-3","EB-3","","","EB-3","","","EB-3","EB-3","","","","haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","Blood","","Blood","","","","","haematopoietic_and_lymphoid_tissue","","Blood","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_1185","EB3_312_2019","EB-3","haematopoietic_and_lymphoid_tissue","Epstein-Barr virus-related Burkitt lymphoma","Cancer cell line",NA,"ACH-002236",""
"EBC-1","Lung","","EBC-1","","","EBC-1","EBC1","EBC-1","","EBC-1","EBC-1","EBC-1","","EBC1","EBC-1","EBC-1","","EBC1_LUNG","","","lung","","","Lung","LUNG","Lung:NSCLC","lung","","","","lung","lung","","lung","EBC1","lung","","","","lung","","CVCL_2891","EBC1_315_2019","EBC-1","lung","Squamous cell lung carcinoma","Cancer cell line","TRUE","ACH-000563",""
"EC-GI-10","Esophagus/Stomach","EC-GI-10","EC-GI-10","","","","","EC-GI-10","","EC-GI-10","EC-GI-10","EC-GI-10","","ECGI10","","EC-GI-10","","ECGI10_OESOPHAGUS","","oesophagus","oesophagus","","","","","Esophagus","oesophagus","aero_digestive_tract","","","oesophagus","oesophagus","","oesophagus","ECGI10","oesophagus","","","","esophagus","","CVCL_1187","ECGI10_316_2019","EC-GI-10","oesophagus","Esophageal squamous cell carcinoma","Cancer cell line",NA,"ACH-000305",""
"ECC10","Esophagus/Stomach","ECC10","ECC10","","","","","ECC10","","ECC10","ECC10","ECC10","","ECC10","","ECC10","","","","stomach","stomach","","","","","Stomach","stomach","digestive_system","","","stomach","stomach","","stomach","","","","","","","","CVCL_1188","ECC10_317_2019","ECC10","stomach","Gastric small cell neuroendocrine carcinoma","Cancer cell line",NA,"ACH-000560",""
"ECC12","Esophagus/Stomach","ECC12","ECC12","","","","","ECC12","","ECC12","ECC12","ECC12","","ECC12","","ECC12","","","","stomach","stomach","","","","","Stomach","stomach","digestive_system","","","stomach","stomach","","stomach","ECC12","stomach","","","","","","CVCL_1189","ECC12_318_2019","ECC12","stomach","Gastric small cell neuroendocrine carcinoma","Cancer cell line",NA,"ACH-000225",""
"ECC2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ECC24102021_","","","","",NA,"ACH-001997",""
"ECC4","Bowel","ECC4","","","","","","ECC4","","","","","","","","","","","","gastrointestinal_tract_(site_indeterminate)","","","","","","gastrointestinal_tract_(site_indeterminate)","","","","","gastrointestinal_tract_(site_indeterminate)","","","gastrointestinal_tract_(site_indeterminate)","","","","","","","","CVCL_1190","ECC4_319_2019","","gastrointestinal_tract_(site_indeterminate)","Rectal adenocarcinoma","Cancer cell line",NA,"ACH-002024",""
"EFE-184","Uterus","EFE-184","EFE-184","","","","","","","EFE-184","EFE-184","","","EFE184","EFE-184","","","","EFE184","endometrium","endometrium","","","","","","endometrium","","","","endometrium","endometrium","Uterus","endometrium","EFE184","endometrium","","","","","uterus","CVCL_1191","EFE184_320_2019","","endometrium","Endometrial carcinoma","Cancer cell line","TRUE","ACH-000435",""
"EFM-19","Breast","EFM-19","EFM-19","EFM19","EFM19","EFM-19","","EFM-19","","EFM-19","EFM-19","EFM-19","efm19","","EFM-19","EFM-19","","","EFM19","breast","breast","breast","breast","Breast","","Breast","breast","breast","EFM19","breast","breast","","Breast","breast","","","","","","","breast","CVCL_0253","EFM19_321_2019","EFM-19","breast","Ductal breast carcinoma","Cancer cell line","TRUE","ACH-000330",""
"EFM-192A","Breast","","EFM-192A","","EFM192A","EFM-192A","","EFM-192A","","EFM-192A","EFM-192A","EFM-192A","efm192a","EFM192A","EFM-192A","EFM-192A","","EFM192A_BREAST","EFM192A","","breast","","breast","Breast","","Breast","breast","","","breast","breast","breast","","breast","EFM192A","breast","","","","breast","breast","CVCL_1812","EFM192A_322_2019","EFM-192A","breast","Breast carcinoma","Cancer cell line","TRUE","ACH-000117",""
"EFM-192B","Breast","","","","EFM192B","EFM-192B","","","","","","","","","EFM-192B","","","","","","","","breast","Breast","","","","","","","","","","","","","","","","","","CVCL_1813","EFM192B_323_2019","","breast","Breast carcinoma","Cancer cell line","TRUE","",""
"EFM-192C","Breast","","","","EFM192C","EFM-192C","","","","","","","","","EFM-192C","","","","","","","","breast","Breast","","","","","","","","","","","","","","","","","","CVCL_1814","EFM192C_324_2019","","breast","Breast carcinoma","Cancer cell line","TRUE","",""
"EFO-21","Ovary/Fallopian Tube","EFO-21","EFO-21","","","","EFO21","EFO-21","","EFO-21","EFO-21","EFO-21","","EFO21","","EFO-21","","EFO21_OVARY","EF021","ovary","ovary","","","","OVARY","Ovary","ovary","urogenital_system","","","ovary","ovary","","ovary","EFO21","ovary","","","","ovary","ovary","CVCL_0029","EFO21_325_2019","EFO-21","ovary","Ovarian cystadenocarcinoma","Cancer cell line","TRUE","ACH-000308",""
"EFO-27","Ovary/Fallopian Tube","EFO-27","EFO-27","","","EFO-27","EFO27","EFO-27","","EFO-27","EFO-27","EFO-27","","EFO27","EFO-27","EFO-27","","EFO27_OVARY","EFO27","ovary","ovary","","","Ovary","OVARY","Ovary","ovary","urogenital_system","","","ovary","ovary","Ovary","ovary","EFO27","ovary","","","","ovary","ovary","CVCL_1192","EFO27_326_2019","EFO-27","ovary","Ovarian mucinous adenocarcinoma","Cancer cell line","TRUE","ACH-000936",""
"EGI-1","Biliary Tract","EGI-1","","","","","","EGI-1","EGI-1","","","EGI-1","","","","EGI-1","","","","biliary_tract","","","","","","Liver","","digestive_system","","","biliary_tract","","","biliary_tract","","","","","","","","CVCL_1193","EGI1_327_2019","EGI-1","biliary_tract","Cholangiocarcinoma","Cancer cell line",NA,"ACH-001494",""
"EHEB","Lymphoid","EHEB","EHEB","","","","","EHEB","","EHEB","EHEB","EHEB","","EHEB","","EHEB","","","EHEB","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","Blood","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","haematopoietic_and_lymphoid_tissue","","","","","","","blood","CVCL_1194","EHEB_328_2019","EHEB","haematopoietic_and_lymphoid_tissue","","Transformed cell line",NA,"ACH-000038",""
"EJM","Lymphoid","","EJM","","","EJM","EJM","EJM","","EJM","EJM","EJM","","EJM","EJM","EJM","","","","","haematopoietic_and_lymphoid_tissue","","","Blood","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","Blood","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_2030","EJM_329_2019","EJM","haematopoietic_and_lymphoid_tissue","Plasma cell myeloma","Cancer cell line",NA,"ACH-000821",""
"EKVX","Lung","EKVX","EKVX","EKVX","","EKVX","","EKVX","","EKVX","EKVX","EKVX","","EKVX","EKVX","EKVX","EKVX///LC.EKVX","","EKVX","lung","","lung","","Lung","","Lung","lung","lung","","","lung","","Lung","lung","EKVX","","","","Non-Small Cell Lung Cancer///Non-Small Cell Lung","","lung","CVCL_1195","EKVX_330_2019","EKVX","lung","Lung adenocarcinoma","Cancer cell line",NA,"ACH-000706",""
