GDSC.sampleid	GDSC.Sample_Name	CCLE.sampleid	GDSC.BROAD_ID	GDSC.RRID	CMP.model_id	CMP.sampleid	GDSC.COSMIC_ID	GDSC.Whole_Exome_Sequencing_(WES)	GDSC.Copy_Number_Alterations_(CNA)	GDSC.Gene_Expression	GDSC.Methylation	GDSC.DrugResponse	GDSC.Tissue_descriptor_1	GDSC.Tissuedescriptor_2	GDSC.Cancer_Type(matching_TCGA_label)	GDSC.Microsatellite_instability_Status_(MSI)	GDSC.Screen_Medium	GDSC.Growth_Properties	GDSC.tissue	GDSC.cancer_type	GDSC.cancer_type_ncit_id	GDSC.sample_site	GDSC.gender	GDSC.ethnicity	GDSC.age_at_sampling
A253	A253	A253_SALIVARY_GLAND	ACH-000740	CVCL_1060	SIDM00796	SIDS00068	906794	Y	Y	Y	Y	Y	aero_dig_tract	head and neck	NA	MSS/MSI-L	D/F12	Adherent	Head and Neck	Head and Neck Carcinoma	C7991	Submaxillary salivary gland	Male	White	54
8305C	8305C	8305C_THYROID	ACH-001306	CVCL_1053	SIDM00997	SIDS00448	906795	Y	Y	Y	Y	Y	thyroid	thyroid	THCA	MSS/MSI-L	R	Adherent	Thyroid	Thyroid Gland Carcinoma	C3878	Thyroid	Female	Unknown	67
647-V	647-V	647V_URINARY_TRACT	ACH-000896	CVCL_1049	SIDM00983	SIDS00446	906797	Y	Y	Y	Y	Y	urogenital_system	Bladder	BLCA	MSS/MSI-L	D/F12	Adherent	Bladder	Bladder Carcinoma	C4912	Unknown	Male	Unknown	NA
639-V	639-V	639V_URINARY_TRACT	ACH-000973	CVCL_1048	SIDM00999	SIDS00445	906798	Y	Y	Y	Y	Y	urogenital_system	Bladder	BLCA	MSS/MSI-L	D/F12	Adherent	Bladder	Bladder Carcinoma	C4912	Left ureter	Male	White	69
697	697	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000070	CVCL_0079	SIDM01076	SIDS00442	906800	Y	Y	Y	Y	Y	leukemia	lymphoblastic_leukemia	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	C9140	Bone marrow	Male	Unknown	12
BT-20	BT-20	BT20_BREAST	ACH-000536	CVCL_0178	SIDM00893	SIDS00085	906801	Y	Y	Y	Y	Y	breast	breast	BRCA	MSS/MSI-L	D/F12	Adherent	Breast	Breast Carcinoma	C4194	Mammary gland	Female	White	74
A2780	A2780	A2780_OVARY	ACH-000657	CVCL_0134	SIDM00210	SIDS00590	906804	Y	Y	Y	Y	Y	urogenital_system	ovary	UNABLE TO CLASSIFY	MSS/MSI-L	R	Semi-Adherent	Ovary	Ovarian Carcinoma	C7979	Unknown	Female	Unknown	NA
COR-L105	COR-L105	CORL105_LUNG	ACH-000161	CVCL_1138	SIDM00513	SIDS00890	906805	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Pleural effusion	Male	White	NA
CRO-AP2	CRO-AP2	CROAP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002220	CVCL_1147	SIDM00952	SIDS00492	906807	Y	Y	Y	Y	Y	lymphoma	B_cell_lymphoma	DLBC	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	C6915	Pleural Effusion	Male	Unknown	49
COR-L88	COR-L88	CORL88_LUNG	ACH-000508	CVCL_1141	SIDM00506	SIDS00897	906808	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Adherent	Lung	Small Cell Lung Carcinoma	C4917	Pleural effusion	Male	White	55
COLO-824	COLO-824	COLO824_BREAST	ACH-001820	CVCL_1136	SIDM00954	SIDS00490	906812	Y	Y	Y	Y	Y	breast	breast	BRCA	MSS/MSI-L	R	Adherent	Breast	Breast Carcinoma	C4872	Peripheral Fluid	Female	Unknown	52
COLO-800	COLO-800	COLO800_SKIN	ACH-000401	CVCL_1135	SIDM00515	SIDS00888	906813	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	R	Adherent	Skin	Melanoma	C3224	Unknown	Male	Unknown	14
COLO-792	COLO-792	COLO792_SKIN	ACH-000968	CVCL_1134	SIDM00140	SIDS00836	906814	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	R	Adherent	Skin	Melanoma	C3224	Brain	Male	Unknown	62
COLO-680N	COLO-680N	COLO680N_OESOPHAGUS	ACH-000717	CVCL_1131	SIDM00956	SIDS00488	906817	Y	Y	Y	Y	Y	aero_dig_tract	oesophagus	ESCA	MSS/MSI-L	R	Adherent	Esophagus	Esophageal Squamous Cell Carcinoma	C4024	Oesophagus	Female	Black	57
COLO-679	COLO-679	COLO679_SKIN	ACH-000805	CVCL_1130	SIDM00284	SIDS00655	906818	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	R	Adherent	Skin	Melanoma	C3224	Unknown	Female	Unknown	47
CHP-212	CHP-212	CHP212_AUTONOMIC_GANGLIA	ACH-000120	CVCL_1125	SIDM00910	SIDS00107	906820	Y	Y	Y	Y	Y	neuroblastoma	neuroblastoma	NB	MSS/MSI-L	D/F12	Adherent	Peripheral Nervous System	Neuroblastoma	C3270	Brain	Unknown	Unknown	NA
CFPAC-1	CFPAC-1	CFPAC1_PANCREAS	ACH-000138	CVCL_1119	SIDM00130	SIDS00807	906821	Y	Y	Y	Y	Y	pancreas	pancreas	PAAD	MSS/MSI-L	R	Adherent	Pancreas	Pancreatic Carcinoma	C9120	Liver	Male	White	26
CCF-STTG1	CCF-STTG1	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	ACH-000329	CVCL_1118	SIDM00131	SIDS00806	906823	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	R	Adherent	Central Nervous System	Glioma	C60781	Unknown	Female	White	68
CA-SKI	Ca-Ski	CASKI_CERVIX	ACH-001336	CVCL_1100	SIDM00923	SIDS00094	906824	Y	Y	Y	Y	Y	urogenital_system	cervix	CESC	MSS/MSI-L	R	Adherent	Cervix	Cervical Carcinoma	C27676	Small intestine	Female	White	40
CAOV-3	Caov-3	CAOV3_OVARY	ACH-000713	CVCL_0201	SIDM00919	SIDS00098	906825	Y	Y	N	Y	Y	urogenital_system	ovary	OV	MSS/MSI-L	D/F12	Adherent	Ovary	Ovarian Carcinoma	C105555	Ovary	Female	White	54
CAL-120	CAL-120	CAL120_BREAST	ACH-000212	CVCL_1104	SIDM00940	SIDS00467	906826	Y	Y	Y	Y	Y	breast	breast	BRCA	MSS/MSI-L	D/F12	Adherent	Breast	Breast Carcinoma	C4872	Pleural Effusion	Female	Unknown	43
CAL-72	CAL-72	CAL72_BONE	ACH-001715	CVCL_1113	SIDM00930	SIDS00477	906827	Y	Y	Y	Y	Y	bone	osteosarcoma	NA	MSS/MSI-L	D/F12	Adherent	Bone	Osteosarcoma	C9145	Left knee	Male	Unknown	10
CAL-62	CAL-62	CAL62_THYROID	ACH-000174	CVCL_1112	SIDM00931	SIDS00476	906828	Y	Y	Y	Y	Y	thyroid	thyroid	THCA	MSS/MSI-L	D/F12	Adherent	Thyroid	Thyroid Gland Carcinoma	C3878	Pleural Effusion	Female	Unknown	70
C32	C32	C32_SKIN	ACH-000580	CVCL_1097	SIDM00890	SIDS00088	906830	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	D/F12	Adherent	Skin	Melanoma	C3802	Unknown	Male	White	53
DAUDI	Daudi	DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000786	CVCL_0008	SIDM00845	SIDS00020	906831	Y	Y	Y	Y	Y	lymphoma	Burkitt_lymphoma	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Burkitt's Lymphoma	C27694	Peripheral Blood	Male	Black	16
DB	DB	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000334	CVCL_1168	SIDM00886	SIDS00112	906832	Y	Y	Y	Y	Y	lymphoma	B_cell_lymphoma	DLBC	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	C8851	Ascites	Male	White	45
DAOY	Daoy	DAOY_CENTRAL_NERVOUS_SYSTEM	ACH-000211	CVCL_1167	SIDM00887	SIDS00111	906833	Y	Y	Y	Y	Y	nervous_system	medulloblastoma	MB	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Other Solid Cancers	C3222	Cerebellum	Male	White	4
D-283MED	D-283MED	D283MED_CENTRAL_NERVOUS_SYSTEM	ACH-000055	CVCL_1155	SIDM00888	SIDS00110	906834	Y	Y	Y	Y	Y	nervous_system	medulloblastoma	MB	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Other Solid Cancers	C3222	Peritoneum	Male	White	6
DBTRG-05MG	DBTRG-05MG	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	ACH-000863	CVCL_1169	SIDM00867	SIDS00113	906835	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	R	Adherent	Central Nervous System	Glioblastoma	C3058	Brain	Female	White	59
DEL	DEL	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000233	CVCL_1170	SIDM00949	SIDS00495	906836	Y	Y	Y	Y	Y	lymphoma	lymphoid_neoplasm other	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	C3720	Pleural Effusion	Male	Unknown	12
DETROIT562	Detroit562	DETROIT562_UPPER_AERODIGESTIVE_TRACT	ACH-000207	CVCL_1171	SIDM00831	SIDS00018	906837	Y	Y	Y	Y	Y	aero_dig_tract	head and neck	HNSC	MSS/MSI-L	D/F12	Adherent	Head and Neck	Head and Neck Carcinoma	C102872	Pleural Effusion	Female	White	NA
DG-75	DG-75	DG75_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002232	CVCL_0244	SIDM00948	SIDS00496	906838	Y	Y	Y	Y	Y	lymphoma	Burkitt_lymphoma	NA	MSI-H	R	Suspension	Haematopoietic and Lymphoid	Burkitt's Lymphoma	C2912	Pleural Effusion	Male	Unknown	10
DK-MG	DK-MG	DKMG_CENTRAL_NERVOUS_SYSTEM	ACH-000244	CVCL_1173	SIDM00947	SIDS00497	906839	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	R	Adherent	Central Nervous System	Glioblastoma	C3058	Right parietal lobe	Female	Unknown	67
DJM-1	DJM-1	DJM1_SKIN	ACH-002100	CVCL_1172	SIDM00281	SIDS00658	906841	Y	Y	Y	Y	Y	skin	skin_other	NA	MSS/MSI-L	D/F12	Adherent	Skin	Other Solid Cancers	C4819	Unknown	Female	East Asian	87
DOHH-2	DOHH-2	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000056	CVCL_1179	SIDM00981	SIDS00499	906842	Y	Y	Y	Y	Y	lymphoma	B_cell_lymphoma	DLBC	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	C8851	Pleural Effusion	Male	Unknown	60
DOTC2-4510	DoTc2-4510	DOTC24510_CERVIX	ACH-001341	CVCL_1181	SIDM00864	SIDS00115	906843	Y	Y	Y	Y	Y	urogenital_system	cervix	CESC	MSS/MSI-L	D/F12	Adherent	Cervix	Cervical Carcinoma	C9039	Cervix	Female	Unknown	NA
DU-4475	DU-4475	DU4475_BREAST	ACH-000258	CVCL_1183	SIDM01001	SIDS00500	906844	Y	Y	Y	Y	Y	breast	breast	BRCA	MSS/MSI-L	R	Suspension	Breast	Breast Carcinoma	C4872	Unknown	Female	Unknown	62
EB2	EB2	EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-001064	CVCL_1186	SIDM00863	SIDS00116	906846	Y	Y	Y	Y	Y	lymphoma	Burkitt_lymphoma	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Burkitt's Lymphoma	C27694	Ovary	Female	Black	7
EB-3	EB-3	EB3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002236	CVCL_1185	SIDM00793	SIDS00055	906847	Y	Y	Y	Y	Y	lymphoma	Burkitt_lymphoma	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Burkitt's Lymphoma	C27694	Unknown	Male	Black	3
ECC10	ECC10	ECC10_STOMACH	ACH-000560	CVCL_1188	SIDM00280	SIDS00659	906848	Y	Y	Y	Y	Y	digestive_system	stomach	NA	MSS/MSI-L	R	Suspension	Stomach	Gastric Carcinoma	C6764	Liver	Unknown	East Asian	NA
ECC12	ECC12	ECC12_STOMACH	ACH-000225	CVCL_1189	SIDM00279	SIDS00660	906849	Y	Y	Y	Y	Y	digestive_system	stomach	NA	MSS/MSI-L	R	Suspension	Stomach	Gastric Carcinoma	C6764	Unknown	Male	East Asian	63
EFM-19	EFM-19	EFM19_BREAST	ACH-000330	CVCL_0253	SIDM01056	SIDS00501	906851	Y	Y	Y	Y	Y	breast	breast	BRCA	MSS/MSI-L	R	Adherent	Breast	Breast Carcinoma	C4017	Pleural Effusion	Female	White	50
EFO-27	EFO-27	EFO27_OVARY	ACH-000936	CVCL_1192	SIDM01051	SIDS00504	906852	Y	Y	Y	Y	Y	urogenital_system	ovary	NA	MSI-H	R	Adherent	Ovary	Ovarian Carcinoma	C5243	Omentum	Female	Unknown	36
EGI-1	EGI-1	EGI1_BILIARY_TRACT	ACH-001494	CVCL_1193	SIDM01050	SIDS00505	906853	Y	Y	Y	Y	Y	digestive_system	biliary_tract	NA	MSS/MSI-L	D/F12	Adherent	Biliary Tract	Biliary Tract Carcinoma	C4436	Unknown	Male	White	52
EHEB	EHEB	EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000038	CVCL_1194	SIDM01049	SIDS00506	906854	Y	Y	Y	Y	Y	lymphoma	lymphoid_neoplasm other	CLL	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Non-Cancerous	C41168	Peripheral Blood	Female	Unknown	69
EM-2	EM-2	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000295	CVCL_1196	SIDM01047	SIDS00508	906855	Y	Y	Y	Y	Y	leukemia	chronic_myeloid_leukaemia	LCML	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	C3174	Bone marrow	Female	White	5
EOL-1-CELL	EoL-1-cell	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000198	CVCL_0258	SIDM00277	SIDS00662	906856	Y	Y	Y	Y	Y	leukemia	haematopoietic_neoplasm other	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	C4563	Unknown	Male	East Asian	33
ETK-1	ETK-1	ETK1_BILIARY_TRACT	ACH-002237	CVCL_1206	SIDM00276	SIDS00663	906861	Y	Y	Y	Y	Y	digestive_system	biliary_tract	NA	MSS/MSI-L	R	Adherent	Biliary Tract	Biliary Tract Carcinoma	C35417	Unknown	Female	East Asian	NA
EVSA-T	EVSA-T	EVSAT_BREAST	ACH-001065	CVCL_1207	SIDM01042	SIDS00513	906862	Y	Y	Y	Y	Y	breast	breast	BRCA	MSS/MSI-L	D/F12	Adherent	Breast	Breast Carcinoma	C4872	Ascites	Female	Unknown	NA
FADU	FADU	FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	CVCL_1218	SIDM00860	SIDS00119	906863	Y	Y	Y	Y	Y	aero_dig_tract	head and neck	HNSC	MSS/MSI-L	D/F12	Adherent	Head and Neck	Head and Neck Carcinoma	C4043	Pharynx	Male	White	56
FTC-133	FTC-133	FTC133_THYROID	ACH-000903	CVCL_1219	SIDM00213	SIDS00593	906864	Y	Y	Y	Y	Y	thyroid	thyroid	THCA	MSS/MSI-L	D/F12	Adherent	Thyroid	Thyroid Gland Carcinoma	C8054	Unknown	Male	Unknown	42
G-361	G-361	G361_SKIN	ACH-000572	CVCL_1220	SIDM00857	SIDS00122	906865	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	R	Adherent	Skin	Melanoma	C3224	Unknown	Male	White	31
GAMG	GAMG	GAMG_CENTRAL_NERVOUS_SYSTEM	ACH-000098	CVCL_1226	SIDM01055	SIDS00516	906868	Y	Y	Y	Y	Y	nervous_system	glioma	LGG	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioblastoma	C3058	Unknown	Female	Unknown	42
GCIY	GCIY	GCIY_STOMACH	ACH-000047	CVCL_1228	SIDM00274	SIDS00665	906869	Y	Y	Y	Y	Y	digestive_system	stomach	STAD	MSS/MSI-L	D/F12	Adherent	Stomach	Gastric Carcinoma	C4004	Unknown	Female	East Asian	NA
GDM-1	GDM-1	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000081	CVCL_1230	SIDM01057	SIDS00517	906870	Y	Y	Y	Y	Y	leukemia	acute_myeloid_leukaemia	LAML	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	C9154	Peripheral Blood	Female	Unknown	NA
GI-1	GI-1	GI1_CENTRAL_NERVOUS_SYSTEM	ACH-000756	CVCL_1231	SIDM00273	SIDS00666	906871	Y	Y	Y	Y	Y	nervous_system	glioma	LGG	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioblastoma	C3796	Unknown	Male	East Asian	61
GI-ME-N	GI-ME-N	GIMEN_AUTONOMIC_GANGLIA	ACH-001344	CVCL_1232	SIDM00227	SIDS00596	906872	Y	Y	Y	Y	Y	neuroblastoma	neuroblastoma	NB	MSS/MSI-L	R	Adherent	Peripheral Nervous System	Neuroblastoma	C3270	Unknown	Female	White	2
GMS-10	GMS-10	GMS10_CENTRAL_NERVOUS_SYSTEM	ACH-000102	CVCL_1233	SIDM01074	SIDS00518	906873	Y	Y	Y	Y	Y	nervous_system	glioma	GBM	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioblastoma	C3058	Unknown	Male	Unknown	49
GOTO	GOTO	GOTO_AUTONOMIC_GANGLIA	ACH-001716	CVCL_1234	SIDM00544	SIDS00959	906875	Y	Y	Y	Y	Y	neuroblastoma	neuroblastoma	NB	MSS/MSI-L	R	Adherent	Peripheral Nervous System	Neuroblastoma	C3270	Adrenal Gland	Unknown	Unknown	NA
GR-ST	GR-ST	GRST_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002238	CVCL_1236	SIDM01259	SIDS00667	906877	Y	Y	Y	Y	Y	leukemia	lymphoblastic_leukemia	ALL	MSI-H	R	Suspension	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	C9140	Unknown	Male	Unknown	10
GCT	GCT	GCT_SOFT_TISSUE	ACH-000835	CVCL_1229	SIDM00853	SIDS00126	906999	Y	Y	Y	Y	Y	soft_tissue	soft_tissue_other	NA	MSS/MSI-L	R	Adherent	Soft Tissue	Other Sarcomas	C4247	Lung	Male	Unknown	29
ESS-1	ESS-1	ESS1_ENDOMETRIUM	ACH-000913	CVCL_1205	SIDM01043	SIDS00512	907000	Y	Y	Y	Y	Y	urogenital_system	endometrium	NA	MSS/MSI-L	R	Adherent	Endometrium	Other Sarcomas	C8973	Uterus	Female	White	76
GT3TKB	GT3TKB	GT3TKB_STOMACH	ACH-002122	CVCL_1237	SIDM01231	SIDS00671	907041	Y	Y	Y	Y	Y	digestive_system	stomach	STAD	MSS/MSI-L	D/F12	Adherent	Lung	Squamous Cell Lung Carcinoma	C3493	Unknown	Male	East Asian	NA
H4	H4	H4_CENTRAL_NERVOUS_SYSTEM	ACH-000389	CVCL_1239	SIDM00852	SIDS00127	907042	Y	Y	Y	Y	Y	nervous_system	glioma	LGG	MSS/MSI-L	D/F12	Adherent	Central Nervous System	Glioma	C60781	Brain	Male	White	37
H9	H9	H9_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002240	CVCL_1240	SIDM01251	SIDS00128	907043	Y	Y	Y	Y	Y	lymphoma	lymphoid_neoplasm other	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	C9265	Unknown	Male	White	53
HC-1	HC-1	HC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-002242	CVCL_1243	SIDM01073	SIDS00520	907044	Y	Y	Y	Y	Y	leukemia	hairy_cell_leukaemia	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Other Blood Cancers	C7402	Unknown	Male	White	56
HCC1419	HCC1419	HCC1419_BREAST	ACH-000277	CVCL_1251	SIDM00882	SIDS00135	907045	Y	Y	Y	Y	Y	breast	breast	BRCA	MSS/MSI-L	R	Adherent	Breast	Breast Carcinoma	C4017	Mammary gland	Female	Other	42
HCC1569	HCC1569	HCC1569_BREAST	ACH-000930	CVCL_1255	SIDM00878	SIDS00139	907046	Y	Y	Y	Y	Y	breast	breast	BRCA	MSI-H	R	Adherent	Breast	Breast Carcinoma	C4017	Mammary gland	Female	Black	70
HCC1806	HCC1806	HCC1806_BREAST	ACH-000624	CVCL_1258	SIDM00875	SIDS00142	907047	Y	Y	Y	Y	Y	breast	breast	NA	MSS/MSI-L	R	Adherent	Breast	Breast Carcinoma	C40359	Mammary gland	Female	Black	60
HCC70	HCC70	HCC70_BREAST	ACH-000668	CVCL_1270	SIDM00673	SIDS00154	907048	Y	Y	Y	Y	Y	breast	breast	BRCA	MSS/MSI-L	R	Adherent	Breast	Breast Carcinoma	C4017	Mammary gland/duct	Female	Black	49
HD-MY-Z	HD-MY-Z	HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000190	CVCL_1273	SIDM01063	SIDS00530	907050	Y	Y	Y	Y	Y	lymphoma	Hodgkin_lymphoma	NA	MSS/MSI-L	R	Adherent	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	C9154	Pleural effusion	Unknown	Unknown	29
HEC-1	HEC-1	HEC1_ENDOMETRIUM	ACH-001517	CVCL_1274	SIDM00596	SIDS00962	907051	Y	Y	Y	Y	Y	urogenital_system	endometrium	UCEC	MSI-H	D/F12	Adherent	Endometrium	Endometrial Carcinoma	C7359	Endometrium	Female	East Asian	71
HEL	HEL	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000004	CVCL_0001	SIDM00594	SIDS00964	907053	Y	Y	Y	Y	Y	leukemia	acute_myeloid_leukaemia	LAML	MSS/MSI-L	R	Semi-Adherent	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	C7152	Peripheral blood	Male	White	30
HGC-27	HGC-27	HGC27_STOMACH	ACH-000847	CVCL_1279	SIDM00290	SIDS00669	907055	Y	Y	Y	Y	Y	digestive_system	stomach	STAD	MSS/MSI-L	D/F12	Adherent	Stomach	Gastric Carcinoma	C4911	Lymph Node	Unknown	East Asian	NA
HH	HH	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000061	CVCL_1280	SIDM00671	SIDS00156	907056	Y	Y	Y	Y	Y	leukemia	T_cell_leukemia	NA	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	C3467	Peripheral Blood	Male	White	61
HLE	HLE	HLE_LIVER	ACH-001089	CVCL_1281	SIDM00064	SIDS00757	907057	Y	Y	Y	Y	Y	digestive_system	liver	LIHC	MSS/MSI-L	D/F12	Adherent	Liver	Hepatocellular Carcinoma	C3099	Unknown	Male	Unknown	68
HMV-II	HMV-II	HMVII_SKIN	ACH-002040	CVCL_1282	SIDM00291	SIDS00670	907058	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	R	Adherent	Skin	Melanoma	C3224	Vagina	Female	East Asian	65
HN	HN	HN_UPPER_AERODIGESTIVE_TRACT	ACH-001090	CVCL_1283	SIDM01061	SIDS00532	907059	Y	Y	Y	Y	Y	aero_dig_tract	head and neck	HNSC	MSS/MSI-L	D/F12	Adherent	Head and Neck	Oral Cavity Carcinoma	C4833	Cervical lymph node	Male	East Asian	60
HOS	HOS	HOS_BONE	ACH-000613	CVCL_0312	SIDM00806	SIDS00058	907060	Y	Y	Y	Y	Y	bone	osteosarcoma	NA	MSS/MSI-L	D/F12	Adherent	Bone	Osteosarcoma	C9145	Bone	Female	White	13
HSC-3	HSC-3	HSC3_UPPER_AERODIGESTIVE_TRACT	ACH-000778	CVCL_1288	SIDM00589	SIDS00969	907061	Y	Y	Y	Y	Y	aero_dig_tract	head and neck	HNSC	MSS/MSI-L	D/F12	Adherent	Head and Neck	Oral Cavity Carcinoma	C4648	Tongue	Male	Unknown	64
HSC-4	HSC-4	HSC4_UPPER_AERODIGESTIVE_TRACT	ACH-000546	CVCL_1289	SIDM00588	SIDS00970	907062	Y	Y	Y	Y	Y	aero_dig_tract	head and neck	HNSC	MSS/MSI-L	D/F12	Adherent	Head and Neck	Oral Cavity Carcinoma	C4648	Tongue	Male	East Asian	64
HT	HT	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000914	CVCL_1290	SIDM00661	SIDS00166	907063	Y	Y	N	Y	Y	lymphoma	B_cell_lymphoma	DLBC	MSI-H	R	Suspension	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	C8851	Ascites	Male	White	70
HT-1080	HT-1080	HT1080_SOFT_TISSUE	ACH-000054	CVCL_0317	SIDM00828	SIDS00015	907064	Y	Y	Y	Y	Y	soft_tissue	fibrosarcoma	NA	MSS/MSI-L	D/F12	Adherent	Soft Tissue	Other Sarcomas	C3043	Connective tissue	Male	White	35
HT-1197	HT-1197	HT1197_URINARY_TRACT	ACH-000547	CVCL_1291	SIDM00676	SIDS00167	907065	Y	Y	Y	Y	Y	urogenital_system	Bladder	BLCA	MSS/MSI-L	D/F12	Adherent	Bladder	Bladder Carcinoma	C4912	Urinary Bladder	Male	White	44
HT-1376	HT-1376	HT1376_URINARY_TRACT	ACH-000724	CVCL_1292	SIDM00678	SIDS00168	907066	Y	Y	Y	Y	Y	urogenital_system	Bladder	BLCA	MSS/MSI-L	D/F12	Adherent	Bladder	Bladder Carcinoma	C4912	Urinary Bladder	Female	White	58
HT-144	HT-144	HT144_SKIN	ACH-000322	CVCL_0318	SIDM00695	SIDS00169	907067	Y	Y	Y	Y	Y	skin	melanoma	SKCM	MSS/MSI-L	R	Adherent	Skin	Melanoma	C3224	Subcutaneous tissue	Male	White	29
HT-3	HT-3	HT3_CERVIX	ACH-001525	CVCL_1293	SIDM00679	SIDS00170	907068	Y	Y	Y	Y	Y	urogenital_system	cervix	CESC	MSS/MSI-L	R	Adherent	Cervix	Cervical Carcinoma	C9039	Lymph Node	Female	White	58
HUCCT1	HuCCT1	HUCCT1_BILIARY_TRACT	ACH-000976	CVCL_0324	SIDM00587	SIDS00971	907069	Y	Y	Y	Y	Y	digestive_system	biliary_tract	NA	MSS/MSI-L	R	Adherent	Biliary Tract	Biliary Tract Carcinoma	C35417	Bile duct	Unknown	Unknown	NA
HUH-7	HuH-7	HUH7_LIVER	ACH-000480	CVCL_0336	SIDM00585	SIDS00973	907071	Y	Y	Y	Y	Y	digestive_system	liver	LIHC	MSS/MSI-L	D/F12	Adherent	Liver	Hepatocellular Carcinoma	C3099	Unknown	Male	East Asian	57
HUO9	HuO9	HUO9_BONE	ACH-001526	CVCL_1298	SIDM00599	SIDS00975	907072	Y	Y	Y	Y	Y	bone	osteosarcoma	NA	MSS/MSI-L	R	Adherent	Bone	Osteosarcoma	C9145	Unknown	Female	East Asian	13
