unichem.ChEMBL	pubchem.CID	CCLE.treatmentid	CTRP.treatmentid	GDSC.treatmentid	gCSI.treatmentid	pubchem.MolecularFormula	pubchem.MolecularWeight	pubchem.InChIKey	pubchem.Title	unichem.ChEBI	unichem.FDA_SRS	unichem.LINCS	unichem.rxnorm	unichem.clinicaltrials	unichem.DrugBank	unichem.NIH_Clinical_Collection	unichem.PharmGKB	chembl.action_type	chembl.disease_efficacy	chembl.max_phase	chembl.mec_id	chembl.mechanism_of_action	chembl.target_chembl_id	chembl.site_id	chembl.parent_molecule_chembl_id
CHEMBL69367	2126		AM-580			C22H25NO3	351.4	SZWKGOZKRMMLAJ-UHFFFAOYSA-N	4-{[(5,5,8,8-Tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)carbonyl]amino}benzoic acid	64210	VZ5S5G9ZFZ	LSM-2132	""	""	""	""	""								
CHEMBL513909	11364421		BI-2536	BI-2536		C28H39N7O3	521.7	XQVVPGYIWAGRNI-JOCHJYFZSA-N	4-{[(7r)-8-Cyclopentyl-7-Ethyl-5-Methyl-6-Oxo-5,6,7,8-Tetrahydropteridin-2-Yl]amino}-3-Methoxy-N-(1-Methylpiperidin-4-Yl)benzamide	""	4LJG22T9C6	LSM-1041	""	BI 2536,BI-2536	DB16107	""	""	INHIBITOR	1	2	4666	Serine/threonine-protein kinase PLK1 inhibitor	CHEMBL3024		CHEMBL513909
CHEMBL3109630	76285486			A-366		C19H27N3O2	329.4	BKCDJTRMYWSXMC-UHFFFAOYSA-N	5'-Methoxy-6'-(3-(pyrrolidin-1-yl)propoxy)spiro[cyclobutane-1,3'-indol]-2'-amine	""	""	""	""	""	""	""	""								
CHEMBL240954	10459196			SL0101		C25H24O12	516.4	SXOZSDJHGMAEGZ-IGKKHSBFSA-N	5,7-Dihydroxy-2-(4-Hydroxyphenyl)-4-Oxo-4h-Chromen-3-Yl 3,4-Di-O-Acetyl-6-Deoxy-Alpha-L-Mannopyranoside	""	""	""	""	""	""	""	""								
CHEMBL195008	2828334		necrostatin-1			C13H13N3OS	259.33	TXUWMXQFNYDOEZ-UHFFFAOYSA-N	5-(1H-indol-3-ylmethyl)-3-methyl-2-thioxo-4-Imidazolidinone	91658	""	LSM-1494	""	""	""	""	""								
CHEMBL477989	135421339			SB590885		C27H27N5O2	453.5	MLSAQOINCGAULQ-QFMPWRQOSA-N	5-(2-(4-(2-(dimethylamino)ethoxy)phenyl)-5-(pyridin-4-yl)-1H-imidazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime	131881	""	""	""	""	""	""	""								
CHEMBL2064571	42623951			CZC24832		C15H17FN6O2S	364.4	RXRZPHQBTHQXSV-UHFFFAOYSA-N	5-(2-Amino-8-fluoro-[1,2,4]triazolo[1,5-a]pyridin-6-yl)-N-tert-butylpyridine-3-sulfonamide	""	""	""	""	""	""	""	""								
CHEMBL259551	11493598			FR-180204		C18H13N7	327.3	XVECMUKVOMUNLE-UHFFFAOYSA-N	5-(2-Phenylpyrazolo[1,5-A]pyridin-3-YL)-1H-pyrazolo[3,4-C]pyridazin-3-amine	91383	4C7X7GV82C	LSM-42790	""	""	DB07794	""	""								
CHEMBL261849	11617559			GW-2580		C20H22N4O3	366.4	MYQAUKPBNJWPIE-UHFFFAOYSA-N	5-(3-Methoxy-4-((4-methoxybenzyl)oxy)benzyl)pyrimidine-2,4-diamine	""	SRV0JCF9LI	""	""	""	""	""	""								
CHEMBL1988370	9825149		NVP-ADW742	NVP-ADW742		C28H31N5O	453.6	LSFLAQVDISHMNB-UHFFFAOYSA-N	5-(3-Phenylmethoxyphenyl)-7-[3-(pyrrolidin-1-ylmethyl)cyclobutyl]pyrrolo[2,3-d]pyrimidin-4-amine	""	""	""	""	""	""	""	""								
CHEMBL257167	9903786		TPCA-1	TPCA-1		C12H10FN3O2S	279.29	SAYGKHKXGCPTLX-UHFFFAOYSA-N	5-(4-Fluorophenyl)-2-ureidothiophene-3-carboxamide	91403	9M632G86CC	LSM-1136	""	""	DB17058	""	""								
CHEMBL514499	9826308		GW-843682X	GW843682X		C22H18F3N3O4S	477.5	JSKUWFIZUALZLX-UHFFFAOYSA-N	5-(5,6-Dimethoxy-1-benzimidazolyl)-3-[[2-(trifluoromethyl)phenyl]methoxy]-2-thiophenecarboxamide	91334	""	LSM-1014	""	""	""	""	""								
CHEMBL3216441	9938202			EHT-1864		C25H29Cl2F3N2O4S	581.5	LSECOAJFCKFQJG-UHFFFAOYSA-N	5-(5-(7-(Trifluoromethyl)quinolin-4-ylthio)pentyloxy)-2-(morpholinomethyl)-4H-pyran-4-one dihydrochloride	""	""	""	""	""	""	""	""								
CHEMBL2178608	70676303			GNE-317		C19H22N6O3S	414.5	XOZLHJMDLKDZAL-UHFFFAOYSA-N	5-(6-(3-Methoxyoxetan-3-yl)-7-methyl-4-morpholinothieno[3,2-d]pyrimidin-2-yl)pyrimidin-2-amine	""	""	""	""	""	""	""	""								
CHEMBL24850	81146		NSC30930			C16H13NO3	267.28	MVCLSAMNMAWXFQ-UHFFFAOYSA-N	5-(benzyloxy)-1H-indole-2-carboxylic acid	""	QC9YQ3S9RU	""	""	""	""	""	""								
CHEMBL509860	11507802		LY-2183240			C17H17N5O	307.35	GZNIYOXWFCDBBJ-UHFFFAOYSA-N	5-Biphenyl-4-ylmethyl-tetrazole-1-carboxylic acid dimethylamide	92670	2WBU91OKM7	LSM-2839	""	""	DB17035	""	""								
CHEMBL568150	5289247			AS605240		C12H7N3O2S	257.27	SQWZFLMPDUSYGV-POHAHGRESA-N	5-Quinoxalin-6-ylmethylene-thiazolidine-2,4-dione	45302	""	LSM-42785	""	""	DB04769	""	""								
""	89928392		BRD-K34222889			C26H25NO6	447.5	WIOMGKDOBSQCGH-GXDHUFHOSA-N	5-[2-(4-methoxyphenyl)ethynyl]-1-[(E)-3-(3,4,5-trimethoxyphenyl)prop-2-enoyl]-2,3-dihydropyridin-6-one	""	""	LSM-43122	""	""	""	""	""								
CHEMBL3342187	71297207			WEHI-539		C31H29N5O3S2	583.7	JKMWZKPAXZBYEH-JWHWKPFMSA-N	5-[3-[4-(Aminomethyl)phenoxy]propyl]-2-[(8e)-8-(1,3-Benzothiazol-2-Ylhydrazinylidene)-6,7-Dihydro-5h-Naphthalen-2-Yl]-1,3-Thiazole-4-Carboxylic Acid	""	""	""	""	""	""	""	""								
""	73707371		PRL-3 inhibitor I			C17H11Br2NO2S2	485.2	HXNBAOLVPAWYLT-OVCLIPMQSA-N	5-[[5-Bromo-2-[(2-bromophenyl)methoxy]phenyl]methylene]-2-thioxo-4-thiazolidinone	""	""	LSM-43277	""	""	""	""	""								
CHEMBL3182051	10231331		PD318088			C16H13BrF3IN2O4	561.09	XXSSGBYXSKOLAM-UHFFFAOYSA-N	5-bromo-N-(2,3-dihydroxypropoxy)-3,4-difluoro-2-((2-fluoro-4-iodophenyl)amino)benzamide	""	""	""	""	""	""	""	""								
CHEMBL2007421	49831044			AZD1332		C17H19ClFN7O	391.8	LBVKEEFIPBQIMD-UHFFFAOYSA-N	5-chloro-N2-(1-(5-fluoropyridin-2-yl)ethyl)-N4-(5-isopropoxy-1H-pyrazol-3-yl)pyrimidine-2,4-diamine	""	""	""	""	""	""	""	""								
CHEMBL509032	16038120	TAE684	NVP-TAE684	NVP-TAE684		C30H40ClN7O3S	614.2	QQWUGDVOUVUTOY-UHFFFAOYSA-N	5-chloro-N4-(2-(isopropylsulfonyl)phenyl)-N2-(2-methoxy-4-(4-(4-methylpiperazin-1-yl)piperidin-1-yl)phenyl)pyrimidine-2,4-diamine	91338	EH1713MN4K	LSM-1024	""	""	""	""	""								
CHEMBL126159	397888			LMP744		C24H24N2O7	452.5	QCSDJDQOJBQTDV-UHFFFAOYSA-N	5H-(1,3)Dioxolo(5,6)indeno(1,2-C)isoquinoline-5,12(6H)-dione, 6-(3-((2-hydroxyethyl)amino)propyl)-2,3-dimethoxy-	""	29BY7HQV0T	""	""	LMP-744	""	""	""								
CHEMBL1077979	9863776			(5Z)-7-Oxozeaenol		C19H22O7	362.4	NEQZWEXWOFPKOT-BYRRXHGESA-N	5Z-7-Oxozeaenol	67559	""	LSM-43344	""	""	""	""	""								
CHEMBL230011	10427712		TG-100-115			C18H14N6O2	346.3	UJIAQDJKSXQLIT-UHFFFAOYSA-N	6,7-Bis(3-hydroxyphenyl)pteridine-2,4-diamine	94691	7ACH1U1E2M	LSM-5731	""	""	DB05552	""	""	INHIBITOR	1	2	4827	PI3-kinase p110-gamma subunit inhibitor	CHEMBL3267		CHEMBL230011
CHEMBL230011	10427712		TG-100-115			C18H14N6O2	346.3	UJIAQDJKSXQLIT-UHFFFAOYSA-N	6,7-Bis(3-hydroxyphenyl)pteridine-2,4-diamine	94691	7ACH1U1E2M	LSM-5731	""	""	DB05552	""	""	INHIBITOR	1	2	4828	PI3-kinase p110-delta subunit inhibitor	CHEMBL3130		CHEMBL230011
CHEMBL3318285	78357767			UNC0379		C23H35N5O2	413.6	WEXCGGWTIDNVNT-UHFFFAOYSA-N	6,7-Dimethoxy-2-(pyrrolidin-1-yl)-N-(5-(pyrrolidin-1-yl)pentyl)quinazolin-4-amine	""	""	""	""	""	""	""	""								
CHEMBL3186849	24770514			CPI-613		C22H28O2S2	388.6	ZYRLHJIMTROTBO-UHFFFAOYSA-N	6,8-Bis(benzylthio)octanoic acid	""	E76113IR49	LSM-45873	""	CPI 613,DEVIMISTAT	DB12109	""	""								
CHEMBL412142	9956119		CHIR-99021	CHIR-99021	CHIR-99021	C22H18Cl2N8	465.3	AQGNHMOJWBZFQQ-UHFFFAOYSA-N	6-((2-((4-(2,4-Dichlorophenyl)-5-(4-methyl-1H-imidazol-2-yl)pyrimidin-2-yl)amino)ethyl)amino)nicotinonitrile	91091	234CMT4GK4	LSM-1181	""	LADUVIGLUSIB	""	""	""								
CHEMBL401570	9967941		SB-525334			C21H21N5	343.4	DKPQHFZUICCZHF-UHFFFAOYSA-N	6-(2-(tert-Butyl)-5-(6-methylpyridin-2-yl)-1H-imidazol-4-yl)quinoxaline	91391	""	LSM-1121	""	""	""	""	""								
CHEMBL280099	375860		CHM-1			C16H10FNO3	283.25	ZMYDAPJHGNEFGQ-UHFFFAOYSA-N	6-(2-Fluorophenyl)[1,3]dioxolo[4,5-G]quinolin-8(5h)-One	""	""	""	""	""	""	""	""								
CHEMBL2178735	9956222			YM201636		C25H21N7O3	467.5	YBPIBGNBHHGLEB-UHFFFAOYSA-N	6-Amino-N-[3-[4-(4-morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]phenyl]-3-pyridinecarboxamide	91382	""	LSM-1109	""	""	""	""	""								
CHEMBL355496	448949		GSK-3 inhibitor IX			C16H10BrN3O2	356.17	SAQUSDSPQYQNBG-UHFFFAOYSA-N	6-Bromoindirubin-3'-oxime	""	""	""	""	""	""	""	""								
CHEMBL2391504	51037431		spautin-1			C15H11F2N3	271.26	AWIVHRPYFSSVOG-UHFFFAOYSA-N	6-Fluoro-N-(4-fluorobenzyl)quinazolin-4-amine	""	""	LSM-46181	""	""	""	""	""								
CHEMBL1180	135411		CD-437			C27H26O3	398.5	LDGIHZJOIQSHPB-UHFFFAOYSA-N	6-[3-(1-Adamantyl)-4-hydroxyphenyl]-2-naphthalenecarboxylic Acid	88334	""	LSM-6237	""	""	""	""	""								
CHEMBL1643208	16224745			MK-8776		C15H18BrN7	376.25	GMIZZEXBPRLVIV-UHFFFAOYSA-N	6-bromo-3-(1-methyl-1H-pyrazol-4-yl)-5-(piperidin-3-yl)pyrazolo[1,5-a]pyrimidin-7-amine	131165	""	LSM-42765	""	""	""	""	""								
CHEMBL420311	5113032		EX-527	Selisistat		C13H13ClN2O	248.71	FUZYTVDVLBBXDL-UHFFFAOYSA-N	6-chloro-2,3,4,9-tetrahydro-1H-carbazole-1-carboxamide	90369	L19ECD5014	LSM-36370	""	""	DB13978	""	""								
CHEMBL4303295	613000		BRD9876			C16H14N2	234.29	MKILROQBJOOZKC-UHFFFAOYSA-N	6-tert-Butyl-2,3-naphthalenedicarbonitrile	94271	""	LSM-4897	""	""	""	""	""								
CHEMBL1214066	46901937		UNC0321			C27H45N7O3	515.7	AULLUGALUBVBDD-UHFFFAOYSA-N	7-(2-(2-(Dimethylamino)ethoxy)ethoxy)-6-methoxy-2-(4-methyl-1,4-diazepan-1-yl)-N-(1-methylpiperidin-4-yl)quinazolin-4-amine	94307	""	LSM-4942	""	""	""	""	""								
CHEMBL2017291	52912189		I-BET151	I-BET-151		C23H21N5O3	415.4	VUVUVNZRUGEAHB-CYBMUJFWSA-N	7-(3,5-Dimethylisoxazol-4-yl)-8-methoxy-1-((R)-1-(pyridin-2-yl)ethyl)-1H-imidazo[4,5-c]quinolin-2(3H)-one	95083	""	LSM-6335	""	""	""	""	""								
CHEMBL2398212	16065773		HBX-41108			C13H3ClN4O	266.64	BIGPXXAUSQLTQR-UHFFFAOYSA-N	7-Chloro-9-oxo-9H-indeno[1,2-b]pyrazine-2,3-dicarbonitrile	""	C7JH7KSP8Z	LSM-46176	""	""	""	""	""								
CHEMBL837	104842		SN-38	SN-38		C22H20N2O5	392.4	FJHBVJOVLFPMQE-QFIPXVFZSA-N	7-Ethyl-10-hydroxycamptothecin	8988	0H43101T0J	LSM-45563	""	SN 38,SN-38,IT-141,7-ETHYL-10-HYDROXYCAMPTOTHECIN,NK 012,NK-012,NK012	DB05482	""	""	INHIBITOR	1	2	8183	DNA topoisomerase I inhibitor	CHEMBL1781		CHEMBL837
CHEMBL1422849	3384730		ML311			C23H24F3N3O	415.5	NGAPBLRRJSKIRT-UHFFFAOYSA-N	7-[(4-Ethylpiperazin-1-yl)-[4-(trifluoromethyl)phenyl]methyl]quinolin-8-ol	""	""	""	""	""	""	""	""								
CHEMBL492468	6623618		CIL55			C16H17ClN2OS2	352.9	ITESNYBWKVFAEV-UHFFFAOYSA-N	7-chloro-N-[2-(dimethylamino)ethyl]-4H-thieno[3,2-c]thiochromene-2-carboxamide	""	""	""	""	""	""	""	""								
CHEMBL1972466	9907093		TGX-221	TGX221	TGX-221	C21H24N4O2	364.4	CPRAGQJXBLMUEL-UHFFFAOYSA-N	7-methyl-2-morpholino-9-(1-(phenylamino)ethyl)-4H-pyrido[1,2-a]pyrimidin-4-one	91428	6L28AW98TH	LSM-1172	""	""	""	""	""								
CHEMBL1309542	656346		FQI-1			C18H17NO4	311.3	YKSYGLXHLSPWLB-UHFFFAOYSA-N	8-(2-ethoxyphenyl)-7,8-dihydro[1,3]dioxolo[4,5-g]quinolin-6(5H)-one	""	""	""	""	""	""	""	""								
CHEMBL188678	11327430			NU7441	NU7441	C25H19NO3S	413.5	JAMULYFATHSZJM-UHFFFAOYSA-N	8-(4-Dibenzothienyl)-2-(4-morpholinyl)-4H-1-benzopyran-4-one	91361	XF6ZJD5WGU	LSM-1061	""	""	""	""	""								
CHEMBL1208151	92577			NSC-87877		C19H13N3O7S2	459.5	XGMFVZOKHBRUTL-UHFFFAOYSA-N	8-Hydroxy-7-(6-sulfo-naphthalen-2-ylazo)-quinoline-5-sulfonic acid	""	""	""	""	""	""	""	""								
CHEMBL436817	17759555		cyanoquinoline 11			C20H13Cl2FN6	427.3	ONXROKMQGCSOMG-UHFFFAOYSA-N	8-chloro-4-(3-chloro-4-fluoroanilino)-6-(1H-imidazol-5-ylmethylamino)-3-quinolinecarbonitrile	94979	""	LSM-6200	""	""	""	""	""								
""	44197249		Compound 1541A			C23H15N3O4	397.4	FCODPGUEFHCCIA-UHFFFAOYSA-N	8-hydroxy-N-(3-(imidazo[1,2-a]pyridin-2-yl)phenyl)-2-oxo-2H-chromene-3-carboxamide	131141	""	LSM-42689	""	""	""	""	""								
CHEMBL4077064	71748056			QL-XII-47		C27H21N5O2	447.5	RTRNJQOBEOISFQ-UHFFFAOYSA-N	9-(1-Methyl-4-pyrazolyl)-1-[1-(1-oxoprop-2-enyl)-2,3-dihydroindol-6-yl]-2-benzo[h][1,6]naphthyridinone	94815	""	LSM-6019	""	""	""	""	""								
""	69923936			JW-7-24-1		C31H27F3N4O3	560.6	VVTHOUCIAGHQBD-UHFFFAOYSA-N	9-(3,5-Dimethoxyphenyl)-1-[4-(1-piperazinyl)-3-(trifluoromethyl)phenyl]-2-benzo[h][1,6]naphthyridinone	94664	""	LSM-5674	""	""	""	""	""								
CHEMBL2140523	56973724		AZ-3146			C24H32N6O3	452.5	YUKWVHPTFRQHMF-UHFFFAOYSA-N	9-Cyclopentyl-2-[[2-methoxy-4-[(1-methylpiperidin-4-yl)oxy]-phenyl]amino]-7-methyl-7,9-dihydro-8H-purin-8-one	""	""	""	""	""	""	""	""								
""	1641662		BRD6340			C21H17N3	311.4	JOYQBQFJPLXICC-UHFFFAOYSA-N	9-[2-(1H-benzimidazol-2-yl)ethyl]carbazole	94012	""	LSM-4601	""	""	""	""	""								
CHEMBL240933	135499520			Ara-G		C10H13N5O5	283.24	NYHBQMYGNKIUIF-FJFJXFQQSA-N	9-beta-d-Arabinofuranosylguanine	73141	0Z99WX0GPF	""	""	""	""	""	""								
CHEMBL3589013	568763		SMER-3			C11H4N4O2	224.17	SFSSAKVWCKFRHE-UHFFFAOYSA-N	9H-Indeno[1,2-b][1,2,5]oxadiazolo[3,4-E]pyrazin-9-one	131171	""	LSM-42773	""	""	""	""	""								
CHEMBL483849	65110			AICA Ribonucleotide		C9H15N4O8P	338.21	NOTGFIUVDGNKRI-UUOKFMHZSA-N	AICA ribonucleotide	18406	F0X88YW0YK	""	""	""	DB01700	""	""								
CHEMBL254328	132971		abiraterone			C24H31NO	349.5	GZOSMCIZMLWJML-VJLLXTKPSA-N	Abiraterone	68642	G819A456D0	""	ABIRATERONE	CB-7598,ABIRATERONE,CB 7598	DB05812	""	PA166123407	INHIBITOR	1	4	6494	Cytochrome P450 17A1 inhibitor	CHEMBL3522		CHEMBL254328
CHEMBL254328	132971		abiraterone			C24H31NO	349.5	GZOSMCIZMLWJML-VJLLXTKPSA-N	Abiraterone	68642	G819A456D0	""	ABIRATERONE	CB-7598,ABIRATERONE,CB 7598	DB05812	""	PA166123407	ANTAGONIST	1	4	6884	Androgen Receptor antagonist	CHEMBL1871		CHEMBL254328
CHEMBL254328	132971		abiraterone			C24H31NO	349.5	GZOSMCIZMLWJML-VJLLXTKPSA-N	Abiraterone	68642	G819A456D0	""	ABIRATERONE	CB-7598,ABIRATERONE,CB 7598	DB05812	""	PA166123407	INHIBITOR	1	4	6885	Steroid 5-alpha-reductase inhibitor	CHEMBL2363075		CHEMBL254328
CHEMBL376408	11228183		ABT-737	ABT737		C42H45ClN6O5S2	813.4	HPLNQCPCUACXLM-PGUFJCEWSA-N	Abt-737	47575	Z5NFR173NV	LSM-1180	""	""	DB17023	""	""								
CHEMBL600	12035			N-acetyl cysteine		C5H9NO3S	163.2	PWKSKIMOESPYIA-BYPYZUCNSA-N	Acetylcysteine	28939	WYQ7N0BPYC	LSM-4672	ACETYLCYSTEINE,ACETADOTE,CETYLEV	BRONCHOLYSIN,FLUIMICIL,FLUIMUCETIN,TIXAIR,CETYLEV,ACETADOTE,MUCOMYST,MUCOSIL,RK-0202,MERCAPTURIC ACID,RESPAIRE,ACETYLCYSTEINE	DB06151	""	PA448033		1	4	7470	Glutathione precursor			CHEMBL600
CHEMBL600	12035			N-acetyl cysteine		C5H9NO3S	163.2	PWKSKIMOESPYIA-BYPYZUCNSA-N	Acetylcysteine	28939	WYQ7N0BPYC	LSM-4672	ACETYLCYSTEINE,ACETADOTE,CETYLEV	BRONCHOLYSIN,FLUIMICIL,FLUIMUCETIN,TIXAIR,CETYLEV,ACETADOTE,MUCOMYST,MUCOSIL,RK-0202,MERCAPTURIC ACID,RESPAIRE,ACETYLCYSTEINE	DB06151	""	PA448033		1	4	7471	Mycolytic			CHEMBL600
CHEMBL1976040	24856436		MK-1775	MK-1775		C27H32N8O2	500.6	BKWJAKQVGHWELA-UHFFFAOYSA-N	Adavosertib	91414	K2T6HJX3I3	LSM-1153	""	ADAVOSERTIB,MK-1775,MK1775,AZD1775,AZD-1775	DB11740	""	PA166306541	INHIBITOR	1	2	4642	Serine/threonine-protein kinase WEE1 inhibitor	CHEMBL5491		CHEMBL1976040
CHEMBL1173655	10184653		afatinib	Afatinib		C24H25ClFN5O3	485.9	ULXXDDBFHOBEHA-CWDCEQMOSA-N	Afatinib	61390	41UD74L59M	LSM-43226	GILOTRIF,AFATINIB DIMALEATE,AFATINIB	AFATINIB MALEATE,GIOTRIF,AFATINIB,BIBW-2992 MA2,BIBW-2992,BIBW-2992-MA2,BIBW-2992MA2,GILOTRIF,AFATINIB DIMALEATE,BIBW2992-MA2,BIBW2992 MA2,BIBW2992	DB08916	""	PA165981154								
CHEMBL2219422	46843057			Afuresertib		C18H17Cl2FN4OS	427.3	AFJRDFWMXUECEW-LBPRGKRZSA-N	Afuresertib	131168	8739X25QI3	LSM-42768	""	AFURESERTIB,GSK2110183,ASB-183,ASB183,GSK-2110183	DB11648	""	""	INHIBITOR	1	2	4732	Serine/threonine-protein kinase AKT inhibitor	CHEMBL2111353		CHEMBL2219422
CHEMBL2219423	46843056			GSK2110183B		C18H18Cl3FN4OS	463.8	YFQJOPFTGMHYNV-YDALLXLXSA-N	Afuresertib hydrochloride	""	0FC27E442O	""	""	""	""	""	""								
CHEMBL4780754	135398501			AKT inhibitor VIII		C34H29N7O	551.6	IWCQHVUQEFDRIW-UHFFFAOYSA-N	Akt inhibitor VIII	""	""	""	""	""	""	""	""								
CHEMBL1738797	49806720			Alectinib		C30H34N4O2	482.6	KDGFLJKFZUIJMX-UHFFFAOYSA-N	Alectinib	90936	LIJ4CT1Z3Y	LSM-1202	ALECENSA,ALECTINIB HYDROCHLORIDE,ALECTINIB	ALECTINIB,ALECENSA,AF802,RO5424802,RO-5424802,AF-802,CH-5424802,CH5424802	DB11363	""	PA166160050								
CHEMBL483158	24771867		alisertib	Alisertib		C27H20ClFN4O4	518.9	ZLHFILGSQDJULK-UHFFFAOYSA-N	Alisertib	125628	T66ES73M18	LSM-37184	""	MLN-8237,ALISERTIB,MLN 8237,MLN8237	DB05220	""	PA166165015	INHIBITOR	1	3	5307	Serine/threonine-protein kinase Aurora-A inhibitor	CHEMBL4722		CHEMBL483158
CHEMBL1947204	24739943			AST-1306		C24H18ClFN4O2	448.9	MVZGYPSXNDCANY-UHFFFAOYSA-N	Allitinib	91467	CX0M5RO7CY	LSM-1225	""	ALLITINIB	""	""	""	INHIBITOR	1	2	4126	Epidermal growth factor receptor erbB1 inhibitor	CHEMBL203		CHEMBL1947204
CHEMBL1947204	24739943			AST-1306		C24H18ClFN4O2	448.9	MVZGYPSXNDCANY-UHFFFAOYSA-N	Allitinib	91467	CX0M5RO7CY	LSM-1225	""	ALLITINIB	""	""	""	INHIBITOR	1	2	4127	Receptor protein-tyrosine kinase erbB-2 inhibitor	CHEMBL1824		CHEMBL1947204
CHEMBL2396661	56649450		BYL-719	Alpelisib		C19H22F3N5O2S	441.5	STUWGJZDJHPWGZ-LBPRGKRZSA-N	Alpelisib	93752	08W5N2C97Q	LSM-4256	PIQRAY,ALPELISIB	NVP-BYL719,PIQRAY,ALPELISIB,BYL719,VIJOICE	DB12015	""	""	INHIBITOR	1	4	4681	PI3-kinase p110-alpha subunit inhibitor	CHEMBL4005		CHEMBL2396661
CHEMBL428690	5287969		alvocidib	Flavopiridol		C21H20ClNO5	401.8	BIIVYFLTOXDAOV-YVEFUNNKSA-N	Alvocidib	47344	45AD6X575G	LSM-1011	""	L-86-8275,HL-275,HL 275,FLAVOPIRIDOL,FLAVOPIRIDOL HYDROCHLORIDE,NSC-649890,L-868275,L86-8275,L 86 8275,ALVOCIDIB,ALVOCIDIB HYDROCHLORIDE,MDL 107,826A,MDL-107826A,HMR 1275,HMR-1275	DB03496	""	PA452627	INHIBITOR	1	3	5287	Cyclin-dependent kinase 2 inhibitor	CHEMBL301		CHEMBL428690
CHEMBL428690	5287969		alvocidib	Flavopiridol		C21H20ClNO5	401.8	BIIVYFLTOXDAOV-YVEFUNNKSA-N	Alvocidib	47344	45AD6X575G	LSM-1011	""	L-86-8275,HL-275,HL 275,FLAVOPIRIDOL,FLAVOPIRIDOL HYDROCHLORIDE,NSC-649890,L-868275,L86-8275,L 86 8275,ALVOCIDIB,ALVOCIDIB HYDROCHLORIDE,MDL 107,826A,MDL-107826A,HMR 1275,HMR-1275	DB03496	""	PA452627	INHIBITOR	1	3	5288	Cyclin-dependent kinase 4 inhibitor	CHEMBL331		CHEMBL428690
CHEMBL428690	5287969		alvocidib	Flavopiridol		C21H20ClNO5	401.8	BIIVYFLTOXDAOV-YVEFUNNKSA-N	Alvocidib	47344	45AD6X575G	LSM-1011	""	L-86-8275,HL-275,HL 275,FLAVOPIRIDOL,FLAVOPIRIDOL HYDROCHLORIDE,NSC-649890,L-868275,L86-8275,L 86 8275,ALVOCIDIB,ALVOCIDIB HYDROCHLORIDE,MDL 107,826A,MDL-107826A,HMR 1275,HMR-1275	DB03496	""	PA452627	INHIBITOR	1	3	5289	Cyclin-dependent kinase 6 inhibitor	CHEMBL2508		CHEMBL428690
CHEMBL428690	5287969		alvocidib	Flavopiridol		C21H20ClNO5	401.8	BIIVYFLTOXDAOV-YVEFUNNKSA-N	Alvocidib	47344	45AD6X575G	LSM-1011	""	L-86-8275,HL-275,HL 275,FLAVOPIRIDOL,FLAVOPIRIDOL HYDROCHLORIDE,NSC-649890,L-868275,L86-8275,L 86 8275,ALVOCIDIB,ALVOCIDIB HYDROCHLORIDE,MDL 107,826A,MDL-107826A,HMR 1275,HMR-1275	DB03496	""	PA452627	INHIBITOR	1	3	5290	Cyclin-dependent kinase 9 inhibitor	CHEMBL3116		CHEMBL428690
CHEMBL428690	5287969		alvocidib	Flavopiridol		C21H20ClNO5	401.8	BIIVYFLTOXDAOV-YVEFUNNKSA-N	Alvocidib	47344	45AD6X575G	LSM-1011	""	L-86-8275,HL-275,HL 275,FLAVOPIRIDOL,FLAVOPIRIDOL HYDROCHLORIDE,NSC-649890,L-868275,L86-8275,L 86 8275,ALVOCIDIB,ALVOCIDIB HYDROCHLORIDE,MDL 107,826A,MDL-107826A,HMR 1275,HMR-1275	DB03496	""	PA452627	INHIBITOR	1	3	5291	Cyclin-dependent kinase 1 inhibitor	CHEMBL308		CHEMBL428690
CHEMBL428690	5287969		alvocidib	Flavopiridol		C21H20ClNO5	401.8	BIIVYFLTOXDAOV-YVEFUNNKSA-N	Alvocidib	47344	45AD6X575G	LSM-1011	""	L-86-8275,HL-275,HL 275,FLAVOPIRIDOL,FLAVOPIRIDOL HYDROCHLORIDE,NSC-649890,L-868275,L86-8275,L 86 8275,ALVOCIDIB,ALVOCIDIB HYDROCHLORIDE,MDL 107,826A,MDL-107826A,HMR 1275,HMR-1275	DB03496	""	PA452627	INHIBITOR	1	3	5292	Cyclin-dependent kinase 7 inhibitor	CHEMBL3055		CHEMBL428690
CHEMBL2103851	11282283			Amuvatinib		C23H21N5O3S	447.5	FOFDIMHVKGYHRU-UHFFFAOYSA-N	Amuvatinib	91389	SO9S6QZB4R	LSM-1118	""	MP 470,MP-470,AMUVATINIB,MP470	DB12742	""	""	INHIBITOR	1	2	4770	Tyrosine-protein kinase receptor FLT3 inhibitor	CHEMBL1974		CHEMBL2103851
CHEMBL2103851	11282283			Amuvatinib		C23H21N5O3S	447.5	FOFDIMHVKGYHRU-UHFFFAOYSA-N	Amuvatinib	91389	SO9S6QZB4R	LSM-1118	""	MP 470,MP-470,AMUVATINIB,MP470	DB12742	""	""	INHIBITOR	1	2	4771	Stem cell growth factor receptor inhibitor	CHEMBL1936		CHEMBL2103851
