Source Name	Comment[ENA_SAMPLE]	Material Type	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Characteristics[tissue supergroup]	Characteristics[metatastic tissue]	Characteristics[organism part]	Characteristics[disease]	Characteristics[age]	Unit [age unit]	Characteristics[sex]	Characteristics[ethnicity]	Characteristics[media]	Characteristics[freeze media]	Comment[ENA_ALIAS]	Protocol REF	Extract Name	Comment[NOMINAL_LENGTH]	Comment[LIBRARY_SELECTION]	Comment[NOMINAL_SDEV]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_LAYOUT]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[ENA_RUN]	Factor Value[cell line]	Factor Value[organism part]	Factor Value[disease]
Sample 95	ERS395271	cell	Homo sapiens	NCBI Taxonomy	9606	COLO 678	colo-rectal	not applicable	colon	colon carcinoma	69	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587495	P-MTAB-39822	ERS395271 extract	215	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379734	sequencing assay	ERX379734	ERR413429_2	ERR413429	COLO 678	colon	colon carcinoma
Sample 96	ERS395299	cell	Homo sapiens	NCBI Taxonomy	9606	CX-1	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587496	P-MTAB-39822	ERS395299 extract	211	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379761	sequencing assay	ERX379761	ERR413456_1	ERR413456	CX-1	colon	colon adenocarcinoma
Sample 96	ERS395299	cell	Homo sapiens	NCBI Taxonomy	9606	CX-1	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587496	P-MTAB-39822	ERS395299 extract	211	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379761	sequencing assay	ERX379761	ERR413456_2	ERR413456	CX-1	colon	colon adenocarcinoma
Sample 97	ERS395305	cell	Homo sapiens	NCBI Taxonomy	9606	DLD-1	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	male	not available	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587497	P-MTAB-39822	ERS395305 extract	225	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379767	sequencing assay	ERX379767	ERR413462_1	ERR413462	DLD-1	colon	colon adenocarcinoma
Sample 97	ERS395305	cell	Homo sapiens	NCBI Taxonomy	9606	DLD-1	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	male	not available	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587497	P-MTAB-39822	ERS395305 extract	225	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379767	sequencing assay	ERX379767	ERR413462_2	ERR413462	DLD-1	colon	colon adenocarcinoma
Sample 98	ERS395413	cell	Homo sapiens	NCBI Taxonomy	9606	HCT-15	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS, 10% DMSO	587499	P-MTAB-39822	ERS395413 extract	199	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379875	sequencing assay	ERX379875	ERR413570_1	ERR413570	HCT-15	colon	colon adenocarcinoma
Sample 98	ERS395413	cell	Homo sapiens	NCBI Taxonomy	9606	HCT-15	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS, 10% DMSO	587499	P-MTAB-39822	ERS395413 extract	199	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379875	sequencing assay	ERX379875	ERR413570_2	ERR413570	HCT-15	colon	colon adenocarcinoma
Sample 99	ERS395414	cell	Homo sapiens	NCBI Taxonomy	9606	HCT-8	colo-rectal	not applicable	ileum	ileum adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587500	P-MTAB-39822	ERS395414 extract	268	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379876	sequencing assay	ERX379876	ERR413571_1	ERR413571	HCT-8	ileum	ileum adenocarcinoma
Sample 99	ERS395414	cell	Homo sapiens	NCBI Taxonomy	9606	HCT-8	colo-rectal	not applicable	ileum	ileum adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587500	P-MTAB-39822	ERS395414 extract	268	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379876	sequencing assay	ERX379876	ERR413571_2	ERR413571	HCT-8	ileum	ileum adenocarcinoma
Sample 100	ERS395487	cell	Homo sapiens	NCBI Taxonomy	9606	KM-12	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587503	P-MTAB-39822	ERS395487 extract	198	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379949	sequencing assay	ERX379949	ERR413644_1	ERR413644	KM-12	colon	colon adenocarcinoma
Sample 100	ERS395487	cell	Homo sapiens	NCBI Taxonomy	9606	KM-12	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587503	P-MTAB-39822	ERS395487 extract	198	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379949	sequencing assay	ERX379949	ERR413644_2	ERR413644	KM-12	colon	colon adenocarcinoma
Sample 101	ERS395522	cell	Homo sapiens	NCBI Taxonomy	9606	LoVo	colo-rectal	not applicable	colon	colon adenocarcinoma	56	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587504	P-MTAB-39822	ERS395522 extract	189	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379984	sequencing assay	ERX379984	ERR413679_1	ERR413679	LoVo	colon	colon adenocarcinoma
Sample 101	ERS395522	cell	Homo sapiens	NCBI Taxonomy	9606	LoVo	colo-rectal	not applicable	colon	colon adenocarcinoma	56	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587504	P-MTAB-39822	ERS395522 extract	189	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379984	sequencing assay	ERX379984	ERR413679_2	ERR413679	LoVo	colon	colon adenocarcinoma
Sample 102	ERS395548	cell	Homo sapiens	NCBI Taxonomy	9606	MDST8	colo-rectal	not applicable	colon	colon carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587507	P-MTAB-39822	ERS395548 extract	229	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380010	sequencing assay	ERX380010	ERR413705_1	ERR413705	MDST8	colon	colon carcinoma
Sample 102	ERS395548	cell	Homo sapiens	NCBI Taxonomy	9606	MDST8	colo-rectal	not applicable	colon	colon carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587507	P-MTAB-39822	ERS395548 extract	229	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380010	sequencing assay	ERX380010	ERR413705_2	ERR413705	MDST8	colon	colon carcinoma
Sample 103	ERS395735	cell	Homo sapiens	NCBI Taxonomy	9606	RKO	colo-rectal	not applicable	colon	colon carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	587508	P-MTAB-39822	ERS395735 extract	223	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380197	sequencing assay	ERX380197	ERR413892_1	ERR413892	RKO	colon	colon carcinoma
Sample 103	ERS395735	cell	Homo sapiens	NCBI Taxonomy	9606	RKO	colo-rectal	not applicable	colon	colon carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	587508	P-MTAB-39822	ERS395735 extract	223	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380197	sequencing assay	ERX380197	ERR413892_2	ERR413892	RKO	colon	colon carcinoma
Sample 104	ERS395759	cell	Homo sapiens	NCBI Taxonomy	9606	SK-CO-1	colo-rectal	not applicable	colon	colon adenocarcinoma	65	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS, 10% DMSO	587510	P-MTAB-39822	ERS395759 extract	237	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380221	sequencing assay	ERX380221	ERR413916_1	ERR413916	SK-CO-1	colon	colon adenocarcinoma
Sample 104	ERS395759	cell	Homo sapiens	NCBI Taxonomy	9606	SK-CO-1	colo-rectal	not applicable	colon	colon adenocarcinoma	65	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS, 10% DMSO	587510	P-MTAB-39822	ERS395759 extract	237	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380221	sequencing assay	ERX380221	ERR413916_2	ERR413916	SK-CO-1	colon	colon adenocarcinoma
Sample 105	ERS395811	cell	Homo sapiens	NCBI Taxonomy	9606	SW 1116	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587511	P-MTAB-39822	ERS395811 extract	253	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380273	sequencing assay	ERX380273	ERR413968_1	ERR413968	SW 1116	colon	colon adenocarcinoma
Sample 105	ERS395811	cell	Homo sapiens	NCBI Taxonomy	9606	SW 1116	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587511	P-MTAB-39822	ERS395811 extract	253	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380273	sequencing assay	ERX380273	ERR413968_2	ERR413968	SW 1116	colon	colon adenocarcinoma
Sample 106	ERS395816	cell	Homo sapiens	NCBI Taxonomy	9606	SW 403	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587514	P-MTAB-39822	ERS395816 extract	307	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380278	sequencing assay	ERX380278	ERR413973_1	ERR413973	SW 403	colon	colon adenocarcinoma
Sample 106	ERS395816	cell	Homo sapiens	NCBI Taxonomy	9606	SW 403	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587514	P-MTAB-39822	ERS395816 extract	307	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380278	sequencing assay	ERX380278	ERR413973_2	ERR413973	SW 403	colon	colon adenocarcinoma
Sample 107	ERS395824	cell	Homo sapiens	NCBI Taxonomy	9606	SW 948	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587518	P-MTAB-39822	ERS395824 extract	317	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380286	sequencing assay	ERX380286	ERR413981_1	ERR413981	SW 948	colon	colon adenocarcinoma
Sample 107	ERS395824	cell	Homo sapiens	NCBI Taxonomy	9606	SW 948	colo-rectal	not applicable	colon	colon adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587518	P-MTAB-39822	ERS395824 extract	317	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380286	sequencing assay	ERX380286	ERR413981_2	ERR413981	SW 948	colon	colon adenocarcinoma
Sample 108	ERS395827	cell	Homo sapiens	NCBI Taxonomy	9606	T84	colo-rectal	lung	colon	colon carcinoma	not available	  	not available	not available	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	587519	P-MTAB-39822	ERS395827 extract	314	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380289	sequencing assay	ERX380289	ERR413984_1	ERR413984	T84	colon	colon carcinoma
Sample 108	ERS395827	cell	Homo sapiens	NCBI Taxonomy	9606	T84	colo-rectal	lung	colon	colon carcinoma	not available	  	not available	not available	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	587519	P-MTAB-39822	ERS395827 extract	314	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380289	sequencing assay	ERX380289	ERR413984_2	ERR413984	T84	colon	colon carcinoma
Sample 109	ERS395560	cell	Homo sapiens	NCBI Taxonomy	9606	MKN-45	stomach	not applicable	stomach	gastric adenocarcinoma	62	year	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587521	P-MTAB-39822	ERS395560 extract	289	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380022	sequencing assay	ERX380022	ERR413717_1	ERR413717	MKN-45	stomach	gastric adenocarcinoma
Sample 109	ERS395560	cell	Homo sapiens	NCBI Taxonomy	9606	MKN-45	stomach	not applicable	stomach	gastric adenocarcinoma	62	year	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587521	P-MTAB-39822	ERS395560 extract	289	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380022	sequencing assay	ERX380022	ERR413717_2	ERR413717	MKN-45	stomach	gastric adenocarcinoma
Sample 110	ERS395683	cell	Homo sapiens	NCBI Taxonomy	9606	Okajima	stomach	not applicable	stomach	gastric adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587522	P-MTAB-39822	ERS395683 extract	260	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380145	sequencing assay	ERX380145	ERR413840_1	ERR413840	Okajima	stomach	gastric adenocarcinoma
Sample 110	ERS395683	cell	Homo sapiens	NCBI Taxonomy	9606	Okajima	stomach	not applicable	stomach	gastric adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587522	P-MTAB-39822	ERS395683 extract	260	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380145	sequencing assay	ERX380145	ERR413840_2	ERR413840	Okajima	stomach	gastric adenocarcinoma
Sample 111	ERS395201	cell	Homo sapiens	NCBI Taxonomy	9606	A-427	lung	not applicable	lung	lung carcinoma	52	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587523	P-MTAB-39822	ERS395201 extract	195	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379664	sequencing assay	ERX379664	ERR413359_1	ERR413359	A-427	lung	lung carcinoma
Sample 111	ERS395201	cell	Homo sapiens	NCBI Taxonomy	9606	A-427	lung	not applicable	lung	lung carcinoma	52	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587523	P-MTAB-39822	ERS395201 extract	195	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379664	sequencing assay	ERX379664	ERR413359_2	ERR413359	A-427	lung	lung carcinoma
Sample 112	ERS395251	cell	Homo sapiens	NCBI Taxonomy	9606	Calu-3	lung	not applicable	lung	lung adenocarcinoma	25	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587527	P-MTAB-39822	ERS395251 extract	182	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379714	sequencing assay	ERX379714	ERR413409_1	ERR413409	Calu-3	lung	lung adenocarcinoma
Sample 112	ERS395251	cell	Homo sapiens	NCBI Taxonomy	9606	Calu-3	lung	not applicable	lung	lung adenocarcinoma	25	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587527	P-MTAB-39822	ERS395251 extract	182	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379714	sequencing assay	ERX379714	ERR413409_2	ERR413409	Calu-3	lung	lung adenocarcinoma
Sample 113	ERS395252	cell	Homo sapiens	NCBI Taxonomy	9606	Calu-6	lung	not applicable	lung	lung anaplastic carcinoma	61	year	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587528	P-MTAB-39822	ERS395252 extract	201	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379715	sequencing assay	ERX379715	ERR413410_1	ERR413410	Calu-6	lung	lung anaplastic carcinoma
Sample 113	ERS395252	cell	Homo sapiens	NCBI Taxonomy	9606	Calu-6	lung	not applicable	lung	lung anaplastic carcinoma	61	year	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587528	P-MTAB-39822	ERS395252 extract	201	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379715	sequencing assay	ERX379715	ERR413410_2	ERR413410	Calu-6	lung	lung anaplastic carcinoma
Sample 114	ERS395319	cell	Homo sapiens	NCBI Taxonomy	9606	EBC-1	lung	not applicable	lung	non-small cell lung carcinoma	not available	  	not available	not available	RPMI-1640, 10% TET Free FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587529	P-MTAB-39822	ERS395319 extract	301	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379781	sequencing assay	ERX379781	ERR413476_1	ERR413476	EBC-1	lung	non-small cell lung carcinoma
Sample 114	ERS395319	cell	Homo sapiens	NCBI Taxonomy	9606	EBC-1	lung	not applicable	lung	non-small cell lung carcinoma	not available	  	not available	not available	RPMI-1640, 10% TET Free FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587529	P-MTAB-39822	ERS395319 extract	301	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379781	sequencing assay	ERX379781	ERR413476_2	ERR413476	EBC-1	lung	non-small cell lung carcinoma
Sample 115	ERS395326	cell	Homo sapiens	NCBI Taxonomy	9606	EKVX	lung	not applicable	lung	non-small cell lung carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587533	P-MTAB-39822	ERS395326 extract	269	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379788	sequencing assay	ERX379788	ERR413483_1	ERR413483	EKVX	lung	non-small cell lung carcinoma
Sample 115	ERS395326	cell	Homo sapiens	NCBI Taxonomy	9606	EKVX	lung	not applicable	lung	non-small cell lung carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587533	P-MTAB-39822	ERS395326 extract	269	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379788	sequencing assay	ERX379788	ERR413483_2	ERR413483	EKVX	lung	non-small cell lung carcinoma
Sample 116	ERS395579	cell	Homo sapiens	NCBI Taxonomy	9606	NCI-H1355	lung	pleura	lung	lung adenocarcinoma	53	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	587534	P-MTAB-39822	ERS395579 extract	246	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380041	sequencing assay	ERX380041	ERR413736_1	ERR413736	NCI-H1355	lung	lung adenocarcinoma
Sample 116	ERS395579	cell	Homo sapiens	NCBI Taxonomy	9606	NCI-H1355	lung	pleura	lung	lung adenocarcinoma	53	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	587534	P-MTAB-39822	ERS395579 extract	246	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380041	sequencing assay	ERX380041	ERR413736_2	ERR413736	NCI-H1355	lung	lung adenocarcinoma
Sample 117	ERS395580	cell	Homo sapiens	NCBI Taxonomy	9606	NCI-H1373	lung	not applicable	lung	lung adenocarcinoma	56	year	male	African	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587535	P-MTAB-39822	ERS395580 extract	254	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380042	sequencing assay	ERX380042	ERR413737_1	ERR413737	NCI-H1373	lung	lung adenocarcinoma
Sample 117	ERS395580	cell	Homo sapiens	NCBI Taxonomy	9606	NCI-H1373	lung	not applicable	lung	lung adenocarcinoma	56	year	male	African	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587535	P-MTAB-39822	ERS395580 extract	254	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380042	sequencing assay	ERX380042	ERR413737_2	ERR413737	NCI-H1373	lung	lung adenocarcinoma
Sample 118	ERS395586	cell	Homo sapiens	NCBI Taxonomy	9606	NCI-H1573	lung	not applicable	lung	lung adenocarcinoma	not available	  	not available	not available	ACL-4 media	Complete growth medium, 90%; DMSO, 10%	587536	P-MTAB-39822	ERS395586 extract	269	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380048	sequencing assay	ERX380048	ERR413743_1	ERR413743	NCI-H1573	lung	lung adenocarcinoma
Sample 118	ERS395586	cell	Homo sapiens	NCBI Taxonomy	9606	NCI-H1573	lung	not applicable	lung	lung adenocarcinoma	not available	  	not available	not available	ACL-4 media	Complete growth medium, 90%; DMSO, 10%	587536	P-MTAB-39822	ERS395586 extract	269	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380048	sequencing assay	ERX380048	ERR413743_2	ERR413743	NCI-H1573	lung	lung adenocarcinoma
Sample 119	ERS395593	cell	Homo sapiens	NCBI Taxonomy	9606	NCI-H1693	lung	not applicable	lung	non-small cell lung carcinoma	55	year	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587537	P-MTAB-39822	ERS395593 extract	329	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380055	sequencing assay	ERX380055	ERR413750_1	ERR413750	NCI-H1693	lung	non-small cell lung carcinoma
Sample 119	ERS395593	cell	Homo sapiens	NCBI Taxonomy	9606	NCI-H1693	lung	not applicable	lung	non-small cell lung carcinoma	55	year	female	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587537	P-MTAB-39822	ERS395593 extract	329	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380055	sequencing assay	ERX380055	ERR413750_2	ERR413750	NCI-H1693	lung	non-small cell lung carcinoma
Sample 120	ERS395598	cell	Homo sapiens	NCBI Taxonomy	9606	NCI-H1792	lung	not applicable	lung	lung adenocarcinoma	50	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587538	P-MTAB-39822	ERS395598 extract	283	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380060	sequencing assay	ERX380060	ERR413755_1	ERR413755	NCI-H1792	lung	lung adenocarcinoma
Sample 120	ERS395598	cell	Homo sapiens	NCBI Taxonomy	9606	NCI-H1792	lung	not applicable	lung	lung adenocarcinoma	50	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587538	P-MTAB-39822	ERS395598 extract	283	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380060	sequencing assay	ERX380060	ERR413755_2	ERR413755	NCI-H1792	lung	lung adenocarcinoma
Sample 121	ERS395362	cell	Homo sapiens	NCBI Taxonomy	9606	HCC-15	lung	not applicable	lung	non-small cell lung carcinoma	48	year	male	not available	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587541	P-MTAB-39822	ERS395362 extract	291	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379824	sequencing assay	ERX379824	ERR413519_1	ERR413519	HCC-15	lung	non-small cell lung carcinoma
Sample 121	ERS395362	cell	Homo sapiens	NCBI Taxonomy	9606	HCC-15	lung	not applicable	lung	non-small cell lung carcinoma	48	year	male	not available	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587541	P-MTAB-39822	ERS395362 extract	291	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379824	sequencing assay	ERX379824	ERR413519_2	ERR413519	HCC-15	lung	non-small cell lung carcinoma
Sample 122	ERS395498	cell	Homo sapiens	NCBI Taxonomy	9606	KNS-62	lung	not applicable	lung	non-small cell lung carcinoma	49	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587547	P-MTAB-39822	ERS395498 extract	324	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379960	sequencing assay	ERX379960	ERR413655_1	ERR413655	KNS-62	lung	non-small cell lung carcinoma
